creator;data de nascimento;data de morte;country of citizenship;educated at;lat_educated_at;lon_educated_at;place of birth;place of death;sex or gender;fonte_educated_at;confianca_educated_at;observacoes_pesquisa;fonte_place_of_birth;confianca_place_of_birth;acervo;confianca_preenchimento;lat_birth;lon_birth;score_birth;lat_death;lon_death;score_death;fonte_place_of_death;observacoes_place_of_death;confianca_place_of_death;fonte_data_de_nascimento;fonte_data_de_morte;observacoes_datas_biograficas;confianca_datas_biograficas
Abel-Dominique Boyé;1864;1934;França;École des beaux-arts de Bordeaux > École des Beaux-Arts de Paris;44.83111111111111 > 48.853997;-0.5611111111111111 > 2.333500;Marmande;Marmande;male;https://pt.wikipedia.org/wiki/Abel-Dominique_Boy%C3%A9 | https://franco.wiki/fr/Abel-Dominique_Boy%C3%A9.html;média;;Wikidata;alta;MASP;alta;44.499151322;0.166416496;100.0;44.5;0.1652777778;100.0;https://pt.wikipedia.org/wiki/Abel-Dominique_Boy%C3%A9 | https://www.wikidata.org/wiki/Q944872;"Morte indicada em Marmande; coordenadas referem-se à comuna.";média;BnF Autorités > Wikidata > Ulan;BnF Autorités > Wikidata > Ulan;"fonte secundária consultada indica óbito em 1933; mantido 1934 conforme autoridade BnF";alta
Abelardo Zaluar;1924;1987;Brasil;Escola Nacional de Belas Artes;-22.8625055;-43.2256622;Niterói, Rio de Janeiro, Brasil;Rio de Janeiro;male;https://enciclopedia.itaucultural.org.br/pessoas/2112-zaluar | https://www.guiadasartes.com.br/abelardo-zaluar/obras-e-biografia;alta;;Galeria Ipanema;média;MAC USP;média;-22.8898227;-43.1220775;;-22.9111111111;-43.2055555556;100.0;https://enciclopedia.itaucultural.org.br/pessoas/2112-zaluar;Local de morte preenchido a partir de verbete biográfico institucional.;alta;Cultura Niterói | Arremate Arte > Ulan;Cultura Niterói | Arremate Arte > Ulan;"Itaú Cultural e MARGS confirmam o intervalo 1924-1987; usada fonte biográfica com datas completas";alta
Abraham Brueghel;1631;1690;Países Baixos Espanhóis;Formação com Jan Brueghel the Younger (pai);51.2234;4.4069;Antuérpia;Nápoles;male;https://en.wikipedia.org/wiki/Abraham_Brueghel | https://www.christies.com/en/lot/lot-4836790;média;Fontes indicam formação com o pai, sem instituição formal nomeada.;Wikidata;alta;Museu Nacional de Belas Artes;média;51.25942418;4.371799938;100.0;40.8358333333;14.2486111111;100.0;https://www.wikidata.org/wiki/Q1824525;"Local de morte mantido; coordenadas ajustadas para a cidade de Naples.";alta;Art UK > Wikidata > Ulan;Wikidata > Ulan;"fontes consultadas divergem sobre o ano de morte (c.1690 / 1697); óbito deixado em branco";alta
Abraham Naton;1906;1959;Israel;Bucharest Art Academy;44.44366667;26.09016667;Bessarabka, Rússia;Israel;male;https://www.beloosesky.com/artists/avraham-naton/biography | https://www.dangallery.co.il/artists/avraham-naton/;baixa;As fontes consultadas usam a forma Avraham Naton.;https://acervo.mac.usp.br/acervo/index.php/Detail/entities/5771;alta;MAC USP;alta;;;100.0;;;100.0;https://acervo.mac.usp.br/acervo/index.php/Detail/entities/5771;"Local de morte mantido; coordenadas ajustadas para a cidade de Givatayim.";alta;https://acervo.mac.usp.br/acervo/index.php/Detail/entities/5771;https://acervo.mac.usp.br/acervo/index.php/Detail/entities/5771;anos confirmados em fontes institucionais israelenses;alta
Abreu;;;;;;;;;;;;identificação incompleta> não foi possível desambiguar com segurança;;;;;;;;;;;;"Identificação incompleta; não desambiguada com segurança.";;;;"sobrenome isolado; identidade não desambiguada";
Achille Funi;1890;1972;Itália;Accademia di Belle Arti di Brera > Art School “Dosso Dossi” >;45.47222222 > 44.83916666666666 >;9.18888889 > 11.6175 >;Ferrara;Appiano Gentile;male;https://it.wikipedia.org/wiki/Achille_Funi;média;A data da etapa inicial em Ferrara não aparece com precisão no trecho consultado.;Wikidata;alta;MAC USP;alta;44.8378378;11.6203994;100.0;45.7383333333;8.9797222222;100.0;https://en.wikipedia.org/wiki/Achille_Funi;"Local de morte mantido; coordenadas ajustadas para o comune de Appiano Gentile.";média;Accademia Nazionale di San Luca > Wikidata > Ulan;Accademia Nazionale di San Luca > Wikidata > Ulan;datas completas confirmadas em fonte institucional;alta
Adam Martinakis;1972;;Polônia;estudou Interior Architecture, Decorative Arts and Industrial Design em Atenas;37.98416666666667;23.72805555555556;Lubań, Polônia;;male;site oficial do artista;alta;;site oficial do artista;alta;FILE;;51.119999978;15.289444427;100.0;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;;site oficial de Adam Martinakis | FILE > Wikidata;;fonte oficial explicita apenas o ano de nascimento;alta
Adam Pizurny;;;Eslováquia;;;;Eslováquia;;male;;;biografias localizadas neste lote não informam formação;FILE Festival;alta;FILE;;48.708702094;19.487749196;100.0;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;;;;não localizadas datas biográficas em fonte auditável;
Adam Winkels;;;Canadá;;;;Canadá;;male;;;biografias localizadas neste lote informam atuação profissional, sem formação explícita;FILE Festival (País de Origem);alta;FILE;;60.10867;-113.64258;100.0;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;;;;não localizadas datas biográficas em fonte auditável;
Ademar Shimabukuro;1962;;;Pontifícia Universidade Católica de Campinas (PUC-Campinas);-22.8346;-47.0476;Campinas, SP, Brasil;;male;https://www.escavador.com/sobre/1882197/ademar-kazumi-shimabukuro;média;graduação em arquitetura e urbanismo;MAC USP;alta;MAC USP;média;-22.9073702;-47.0628996;;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;;Itaú Cultural;;data de nascimento explicitada em enciclopédia institucional;alta
Adir Sodré de Souza;1962;2020;Brasil;Ateliê Livre da Fundação Cultural de Mato Grosso;-20.468611111111;-54.622222222222;Rondonópolis, Mato Grosso, Brasil;Cuiabá;male;https://museudeartesacra.org.br/2021/09/15/adir-sodre/;alta;formação em ateliê> escola formal não localizada;Enciclopédia Itaú Cultural;alta;MAC USP;alta;-16.470833;-54.635556;;-15.5958333333;-56.0969444444;;Prefeitura de Cuiabá;;alta;Itaú Cultural > Wikidata;Itaú Cultural > Wikidata;mantidos apenas os anos, confirmados em fonte institucional;alta
Adolf Methfessel;1836;1909;Suíça;aprendizagem como jardineiro > primeiras aulas de desenho em Bruxelas > estudos de arquitetura de jardins em Berlim >; > 50.84666666666666 > 52.516666666667 >; > 4.351666666666667 > 13.383333333333 >;Bern;Berna;male;https://www.askart.com/bio/Adolf_Methfessel/11054168/Adolf_Methfessel | https://www.swissinfo.ch/por/cultura/o-artista-su%C3%AD%C3%A7o-que-documentou-a-guerra-da-tr%C3%ADplice-alian%C3%A7a/87475847> https://www.askart.com/bio/Adolf_Methfessel/11054168/Adolf_Methfessel;alta;A fonte aberta mais específica informa aulas de desenho em Bruxelas em 1856 e estudos de arquitetura de jardins em Berlim> registrei a aprendizagem inicial de jardineiro como etapa formativa documentada.;Wikidata;alta;Museu Paulista;média;46.948998594;7.437170775;100.0;46.9479805556;7.4474305556;100.0;DSI / Univ. Stuttgart;;alta;Schweizerisches Kunstarchiv (SIK-ISEA) > Ulan;Schweizerisches Kunstarchiv (SIK-ISEA) > Ulan;datas completas confirmadas em autoridade suíça;alta
Adolfo Matarelli;1832;1887;Reino da Itália;;;;Florença, Itália;Cisano Bergamasco;male;;;Não foi localizada formação acadêmica ou aprendizado documentado com segurança para Adolfo Matarelli.;Gonnelli Casa d’Aste;média;Museu da Inconfidência;média;43.7696;11.2558;;45.7430555556;9.4708333333;100.0;"Wikipedia it; Italia Turrita";"fonte secundária convergente; sem fonte institucional direta localizada";média;The Morgan Library & Museum > Wikidata;The Morgan Library & Museum > Wikidata;fonte consultada explicita apenas os anos;alta
Adolphe Martial-Potémont;1828;1883;França;École des Beaux-Arts de Paris;48.853997;2.333500;Paris;Paris;male;https://en.wikipedia.org/wiki/Adolphe_Martial_Pot%C3%A9mont;média;;Wikidata;alta;Museu Nacional de Belas Artes;média;48.856372814;2.352529617;100.0;48.8566666667;2.3522222222;100.0;Musée Léon Dierx;;alta;Wikidata;Google Arts & Culture | Wikipédia (fr) > Wikidata;"fontes consultadas divergem sobre o ano de nascimento (1827/1828); nascimento deixado em branco";alta
Adrian Dexter;;;Estados Unidos;European Film College > The Animation Workshop;56.1937 > 56.4561;10.6913 > 9.40611;;;male;https://animafest.hr/en/2022/authors/read/adrian_dexter;alta;local de nascimento não localizado com segurança> pesquisa sem fonte robusta para local de nascimento;;;FILE;;;;;;;;;"perfil oficial/FILE recente; sem óbito identificado";;;;não localizadas datas biográficas em fonte auditável;
Adrian Flury;1978;;Suíça;Lucerne University of Applied Sciences and Arts;47.014;8.306;Zug, Suíça;;male;https://archive.file.org.br/participantes/adrian-flury/ | https://www.swissfilms.ch/en/person/adrian-flury/3c0eb1779d0746c8b0d3fd7755415d9f;alta;;HSLU / videokunst.ch;alta;FILE;;47.177534475;8.508559443;100.0;;;;;"perfil recente de artista em atividade; sem óbito identificado";;Google Arts & Culture | FILE;;"ano confirmado por múltiplas fontes; data completa obtida em metadado de obra";média
Adriano Monteiro;;;Brasil;Universidade Estadual de Campinas (UNICAMP);-22.817222222222;-47.069444444444;Brasil;;male;FILE Festival;alta;FILE explicita “País de Origem: Brazil”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;alta;-10.769946429;-53.073466889;100.0;;;;;"site pessoal recente; sem óbito identificado";;;;não localizadas datas biográficas em fonte auditável;
Adrien Cuvit;;;França;ARIES School of Graphic and Motion Design;48.856667;2.352222;França;;male;FILE Festival;alta;;FILE Festival (País de Origem);alta;FILE;;46.559417044;2.550539953;100.0;;;;;perfil FILE sem referência de óbito;;;;não localizadas datas biográficas em fonte auditável;
Adrien Henri Vital van Emelen;1868;1943;Bélgica;Escola de Belas Artes de Lovaina > estudos com Constantin Meunier > aperfeiçoamento com Auguste Rodin;50.8775 >  >;4.704444 >  >;Leuven;São Paulo;male;https://pt.wikipedia.org/wiki/Adrien_Henri_Vital_van_Emelen;média;;Wikidata;alta;Museu Paulista;alta;50.882173608;4.705906182;100.0;-23.5503944444;-46.6339472222;100.0;Biblioteca Nacional / Sophia;"autoridade secundária; local de morte convergente";média;Google Arts & Culture | Biblioteca Nacional > Wikidata > Ulan;Google Arts & Culture | Biblioteca Nacional > Wikidata > Ulan;datas completas confirmadas em metadado institucional e autoridade;alta
Adrián Regnier;1989;;México;"Escuela Nacional de Escultura, Pintura y Grabado ""La Esmeralda"" > Universidad Veracruzana";19.353773 > 19.5293;-99.13589 > -96.9247;Mexico City;;male;site oficial de Adrián Regnier;alta;alto;Wikidata;alta;;;19.430457906;-99.141684761;100.0;;;;;"biografia oficial recente; sem óbito identificado";;site oficial de Adrián Regnier | Fundación CERGUI;;fonte oficial explicita apenas o ano de nascimento;alta
Afro Basaldella;1912;1976;Itália;Liceo Artistico Di Porta Romana E S.F. > Accademia di Belle Arti di Venezia;43.7599 > 45.4286;11.24626 > 12.3305;Udine;Zurique;male;https://en.wikipedia.org/wiki/Afro_Basaldella;média;formação artística registrada de modo geral> datas aproximadas;Wikidata;alta;MAC USP;média;46.0649418;13.2307247;100.0;47.3744444444;8.5411111111;100.0;Peggy Guggenheim Collection;;alta;Wikidata > Ulan;Wikidata > Ulan;;alta
Aggie Pak Yee Lee;1989;;Hong Kong;Estonian Academy of Arts;59;26;Hong Kong;;female;Estonian Academy of Arts | FILE Festival;alta;;Wikidata;alta;FILE;;22.351958323;114.119385987;100.0;;;;;"biografia FILE indica artista nascida em 1989 e atuante; sem óbito identificado";;;;;
Agostinho José da Mota;1824;1878;Brasil;Academia Imperial de Belas Artes > Accademia di San Luca;-22.9071 > 41.90166;-43.1829 > 12.483586;Rio de Janeiro;Rio de Janeiro;male;https://pt.wikipedia.org/wiki/Agostinho_Jos%C3%A9_da_Mota | https://www.brasilianaiconografica.art.br/autores/19862/agostinho-da-motta;média;datas aproximadas;Wikidata;alta;Museu Nacional de Belas Artes;média;-22.9014475;-43.1789159;100.0;-22.9014475;-43.1789159;100.0;Enciclopédia Itaú Cultural;;alta;Wikidata > Ulan;Wikidata > Ulan;;alta
Agostino Masucci;1691;1758;Estados Pontifícios;formação com Benedetto Luti e Carlo Maratta;41.893055555556;12.482777777778;Roma;Roma;male;https://en.wikipedia.org/wiki/Agostino_Masucci | https://www.britannica.com/biography/Agostino-Masucci;alta;;Wikidata;alta;Museu Nacional de Belas Artes;média;41.8905568;12.4942679;100.0;41.8930555556;12.4827777778;100.0;National Galleries of Scotland;;alta;Wikidata > Ulan;Wikidata > Ulan;;alta
Agustín Abreu;1980;;México;Universidad Modelo > University of Texas at El Paso > University of Pittsburgh;21.0285 > 31.77 > 40.444565;-89.5678 > -106.505 > -79.953274;Ciudad de México, México;;male;https://orcid.org/0000-0003-2299-4555;alta;identificação alinhada pela formação> fonte indica nascimento em Ciudad de México> metadado de cidadania na planilha diverge;Biblioteca Virtual Sedeculta / Wikipedia;média;FILE> Museu da Inconfidência;;19.430457906;-99.141684761;;;;;;"ORCID e fontes recentes indicam autor em atividade; sem óbito identificado";;Enciclopedia de la Literatura en México (FLM) — https://www.elem.mx/autor/datos/121872;;"nascimento localizado; sem data de morte em fonte consultada";alta
Agustín Salinas Teruel;1861;1915;Espanha;Escuelas de Comercio, Artes y Oficios de Madrid > Escuela Superior de Bellas Artes > Academia Española de Roma;40.41694444444445 > 41.893055555556 > 41.9106;-3.703333333333333 > 12.482777777778 > 12.4781;Zaragoza;Roma;male;https://www.epdlp.com/pintor.php?id=8747 | https://pt.wikipedia.org/wiki/Augustin_Salinas_y_Teruel> https://www.epdlp.com/pintor.php?id=8747 | https://galeriandre.com.br/artistas-interna/375/augustin-salinas/;média;A grafia do creator foi mantida> as fontes também usam Augustin/Agostyn Salinas.;Wikidata;alta;Museu Nacional de Belas Artes;alta;41.656837;-0.8794245;100.0;41.8930555556;12.4827777778;100.0;"Wikipedia es; Galeria André";"fontes divergentes sobre o ano de morte; local convergente: Roma";média;Wikidata > Ulan;Wikidata > Ulan;;alta
Ahron Giladi;1907;1993;Israel;Leningrad Academy of Art;59.9375;30.29;Gomel, Belarus;;male;https://museum.imj.org.il/artcenter/newsite/en/?artist=Giladi%2C+Aharon;alta;;Israel Museum / galeria;alta;MAC USP;média;52.425163;31.015039;;;;;;fonte institucional localizada para trajetória e data, mas local de morte não confirmado com segurança;;Israel Museum, Information Center for Israeli Art — https://museum.imj.org.il/artcenter/newsite/en/?artist=Giladi%2C+Aharon%2C+Israeli%2C+born+Russia%2C+1907-1993;Israel Museum, Information Center for Israeli Art — https://museum.imj.org.il/artcenter/newsite/en/?artist=Giladi%2C+Aharon%2C+Israeli%2C+born+Russia%2C+1907-1993;;alta
Aieda Freitas;;;Brasil;Universidade Municipal de São Caetano do Sul;-23.6131956;-46.5712354;Brasil;;female;Lar Galeria | Intercom Sudeste;baixa;;FILE Festival (País de Origem);alta;FILE;;-10.769946429;-53.073466889;100.0;;;;;site oficial e FILE sem referência de óbito;;;;não localizei ano de nascimento em fonte pública consultada;
Ailadi;;;Itália;Politecnico di Milano > ENSCI, Les Ateliers > Köln International School of Design;45.478031 > 48.8584 > 50.948;9.227319 > 2.3693 > 6.956;Alpes Italianos, Itália;;female;site oficial da artista;alta;;Kinomural;média;FILE;;45.013;6.9418;100.0;;;;;"perfil autoral recente; sem óbito identificado";;;;não localizei ano de nascimento em fonte pública consultada;
Aimée;;;;;;;Argentina;;;;;fonte institucional informa apenas país de nascimento | nome monônimo e fontes abertas insuficientes para desambiguar a trajetória educacional;MAC USP;alta;MAC USP;;-38.416097;-63.616672;;;;;;"nome monônimo; identidade não desambiguada com segurança";;;;nome artístico/pseudônimo sem desambiguação segura;
Akihito Ito;1976;;Japão;Nagoya University of Arts;35.256;136.881056;Nagoya, Japão;;male;https://www.isea-symposium-archives.org/person/akihito-ito/ | https://archive.file.org.br/participantes/akihito/;alta;;site oficial (akihitoito.com);alta;FILE;;35.18142047;136.90668338;100.0;;;;;"artista em atividade em fonte recente; sem óbito identificado";;Site oficial do artista (perfil) — https://www.akihitoito.com/akihitoito_prof.html;;"nascimento localizado; sem data de morte em fonte consultada";alta
Alaa Omari;;;Palestina;American University of Sharjah;25.309722;55.490556;Palestina;;;American University of Sharjah;alta;;Wikidata;alta;FILE;;31.912719787;35.204684057;100.0;;;;;"artista em atividade em fonte recente; sem óbito identificado";;;;não localizei ano de nascimento em fonte pública consultada;
Alan Davie;1920;2014;Reino Unido;Edinburgh College of Art;55.9458;-3.19964;Grangemouth;Hertford;male;https://en.wikipedia.org/wiki/Alan_Davie> https://gulbenkian.pt/cam/artist/alan-davie/;média;As fontes convergem para Edinburgh College of Art.;Wikidata;alta;MAC USP;alta;56.019555095;-3.721883769;100.0;51.795;-0.078055556;100.0;"Wikipedia; Hertford Arts Hub";;média;Ulan;Ulan;;alta
Albert Bayona i Fernández;1954;;Espanha;School of the Circle of Fine Arts;41.614165;0.625803;Lleida;;male;Wikipedia;média;;Wikidata;alta;FILE;;41.6141646;0.6258029;100.0;;;;;"artista em atividade em fonte recente; sem óbito identificado";;Wikidata;;"sem data de morte; artista em atividade em fontes recentes";alta
Albert Eckhout;1600;1666;República Neerlandesa;formação em pintura com Gheert Roeleffs (tio);;;Groningen;Groningen;male;https://pesquisaescolar.fundaj.gov.br/pt-br/artigo/eckhout-albert/ | https://www.guiadasartes.com.br/albert-van-der-eckhout/principais-obras;alta;As fontes recuperadas não nomeiam uma academia formal> a formação aparece como aprendizado com o tio pintor.;Wikidata;alta;Coleção Brasiliana Itaú;média;53.219956308;6.564955801;100.0;53.218888889;6.5675;100.0;Enciclopédia Itaú Cultural;;alta;Ulan;Ulan;;alta
Albert Gleizes;1881;1953;França;autodidata;48.856372814;2.352529617;Paris;Avinhão;male;https://en.wikipedia.org/wiki/Albert_Gleizes;média;Autodidata> não foi localizada instituição formal de ensino artístico.;Wikidata;alta;MAC USP;média;48.856372814;2.352529617;100.0;43.948611111;4.808333333;100.0;"Britannica; The Met";"fontes divergentes: arquivo trazia Saint-Rémy-de-Provence; Britannica e The Met indicam Avignon";alta;Ulan;Ulan;;alta
Albert Merino;1979;;Espanha;Universitat de Barcelona > Kunsthochschule Berlin-Weißensee;41.386666666667 > 52.5606;2.1638888888889 > 13.4572;Barcelona, Espanha;;male;https://albertmerino.com/web/?page_id=4 | https://www.cccb.org/en/w/participants/albert-merino | https://file.org.br/videoarte_2019/albert-merino/;alta;;FILE Festival / CCCB;alta;FILE;;41.387917;2.1699187;100.0;;;;;"artista em atividade em fonte recente; sem óbito identificado";;;;"sem data de morte; artista em atividade em fonte consultada";
Alberto André Feijó Delpino;1864;1942;Brasil;Academia Imperial de Belas Artes > estudos com Georg Grimm;-22.9071 > ;-43.1829 > ;Juiz de Fora, Minas Gerais, Brasil;Belo Horizonte;;https://enciclopedia.itaucultural.org.br/pessoas/6435-alberto-delpino;alta;formação na Academia Imperial de Belas Artes e estudos com Georg Grimm;https://enciclopedia.itaucultural.org.br/pessoas/6435-alberto-delpino;alta;Museu da Inconfidência;baixa;-21.7609;-43.3500;100.0;-19.928055556;-43.941944444;100.0;Enciclopédia Itaú Cultural;;alta;Enciclopédia Itaú Cultural — https://enciclopedia.itaucultural.org.br/pessoas/6435-alberto-delpino;Enciclopédia Itaú Cultural — https://enciclopedia.itaucultural.org.br/pessoas/6435-alberto-delpino;;alta
Alberto da Veiga Guignard;1896;1962;Brasil;Akademie der Bildenden Künste München > aperfeiçoamento em Florença > aperfeiçoamento em Paris;48.153196 > 43.7696 > 48.856386;11.580312 > 11.2558 > 2.352222;Nova Friburgo;Belo Horizonte;male;https://enciclopedia.itaucultural.org.br/pessoas/2130-guignard;alta;estudos em Florença localizados, mas sem nome formal da instituição no trecho consultado;Wikidata;alta;Museu da Inconfidência;média;-22.2891837;-42.5345547;100.0;-19.928055556;-43.941944444;100.0;"Enciclopédia Itaú Cultural; Secult MG";;alta;Ulan;Ulan;;alta
Alberto Lima;;;Portugal;;;;Porto;;male;;;A fonte indica início da pintura incentivado por Carlos Scliar, sem escola formal nomeada. | fonte localizada menciona incentivo de Carlos Scliar, sem formação ou instituição explicitada;Wikidata;alta;Museu Paulista;média;41.1501526;-8.610318;100.0;;;;;data de falecimento localizada, mas local de morte não encontrado com segurança;;;;"homônimo não desambiguado; contexto do CSV (Portugal/Porto) conflita com artista brasileiro mais documentado";
Alberto Magnelli;1888;1971;Itália;autodidata;43.7686976;11.2569291;Florença;Meudon;male;https://en.wikipedia.org/wiki/Alberto_Magnelli;média;Autodidata> fontes consultadas indicam ausência de formação formal em escola de arte.;Wikidata;alta;MAC USP;média;43.7686976;11.2569291;100.0;48.8075;2.240277778;100.0;Centre Pompidou;;alta;Ulan;Ulan;;alta
Alberto Salietti;1892;1961;Itália;Accademia di Belle Arti di Brera;45.47222222;9.18888889;Ravenna;Chiavari;male;Wikipedia (it)> Pittori Liguri;média;;Wikidata;alta;MAC USP;média;44.4157367;12.1965892;100.0;44.316411111;9.323736111;100.0;Wikipedia it;;média;Wikidata > Ulan;Wikidata > Ulan;;alta
Alberto Silva;1850;;;Escola Industrial Infante D. Henrique > Escola Superior de Belas-Artes do Porto;41.15068 > 41.15;-8.63128 > -8.610833;Porto, Portugal;;male;https://sigarra.up.pt/up/pt/p/antigos%20estudantes%20ilustres%20-%20alberto%20silva;alta;Mantida identificação cautelosa por se tratar de nome relativamente comum.;"U.Porto; Leiloeira Serralves";alta;Museu Histórico Nacional;média;41.1501526;-8.610318;;;;;;homônimo não desambiguado com segurança;;Ulan;;identificação conflitante: fontes localizadas apontam artista do Porto nascido em 1882, mas o CSV traz 1850;alta
Alberto Teixeira;1925;2011;Brasil;Sociedade Nacional de Belas Artes > aulas com Samson Flexor > Atelier-Abstração;38.7140 >  > -23.550394444444;-9.1390 >  > -46.633947222222;São João do Estoril, Portugal;Campinas;male;https://enciclopedia.itaucultural.org.br/pessoas/2955-alberto-teixeira | https://www.apap.art.br/associados/338/alberto-teixeira-em-memoria/;alta;;APAP;alta;MAC USP;alta;38.697;-9.361;;-22.900833333;-47.057222222;100.0;"Centro de Memória Unicamp; Enciclopédia Itaú Cultural";;alta;;;;
Alcindo Da Conceiçao;;;França;ARIES School of Graphic and Motion Design;48.856667;2.352222;França;;male;FILE Festival;alta;FILE explicita “País de Origem: France”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;alta;46.559417044;2.550539953;100.0;;;;;"artista em atividade em fonte recente; sem óbito identificado";;;;não localizei ano de nascimento em fonte pública consultada;
Aldemir Martins;1922;2006;Brasil;Colégio Militar de Fortaleza > Ateneu São José;-3.7275 > -20.82;-38.5275 > -49.378888888889;Aurora;São Paulo;male;https://pt.wikipedia.org/wiki/Aldemir_Martins;média;;Wikidata;alta;MAC USP;média;-6.9406;-38.9686;100.0;-23.550394444;-46.633947222;100.0;Assembleia Legislativa do Estado de São Paulo;;alta;Wikidata > Ulan;Wikidata > Ulan;;alta
Aldo Beck;1919;1999;Brasil;"formação com Manoel Francisco de Oliveira (""Maneca Margarida"""""""")""""""";-27.60111111;-48.52;Florianópolis;;male;artigo UDESC> site do artista;alta;formação artística informal com o mestre Maneca Margarida> escola/instituição não localizada;Wikidata;alta;Museu Victor Meirelles;média;-27.5969123;-48.5495751;100.0;;;;;ano de morte localizado, mas local de morte não aparece de forma explícita nas fontes consultadas;;;Museu de Arte de Santa Catarina (MASC/FCC-SC) — https://aplicacoes.fcc.sc.gov.br/wpmasc/artista/aldo-beck/;;alta
