creator;country of citizenship;educated at;lat_educated_at;lon_educated_at;place of birth;place of burial;place of death;sex or gender;fonte_educated_at;confianca_educated_at;observacoes_pesquisa;fonte_place_of_birth;confianca_place_of_birth;acervo;onde estudou;datas em que estudou;fonte_datas_estudo;confianca_preenchimento;lat_birth;lon_birth;score_birth;lat_death;lon_death;score_death
Abel-Dominique Boyé;France;"école des beaux-arts de Bordeaux; École nationale supérieure des beaux-arts de Paris";"44.83111111111111; 48.85680555555555";"-0.5611111111111111; 2.333277777777778";Marmande;;Marmande;male;https://pt.wikipedia.org/wiki/Abel-Dominique_Boy%C3%A9 | https://franco.wiki/fr/Abel-Dominique_Boy%C3%A9.html;;;;;"outros; MASP";"Bordeaux; Paris";"a partir de 1881; desde 1883 em Paris";https://pt.wikipedia.org/wiki/Abel-Dominique_Boy%C3%A9 | https://franco.wiki/fr/Abel-Dominique_Boy%C3%A9.html;alta;44.499151322;0.166416496;100.0;44.499151322;0.166416496;100.0
Abelardo Zaluar;;Escola Nacional de Belas Artes (Enba);-22.90879805555556;-43.17573111111111;Niterói, Rio de Janeiro, Brazil;;;;https://enciclopedia.itaucultural.org.br/pessoas/2112-zaluar | https://www.guiadasartes.com.br/abelardo-zaluar/obras-e-biografia;;;Galeria Ipanema;media;"MAC; outros; MAC USP";Rio de Janeiro;1944-1948;https://enciclopedia.itaucultural.org.br/pessoas/2112-zaluar;media;;;;;;
Abraham Brueghel;Spanish Netherlands;Formação com Jan Brueghel the Younger (pai);;;Antwerp;;Naples;male;https://en.wikipedia.org/wiki/Abraham_Brueghel | https://www.christies.com/en/lot/lot-4836790;;Fontes indicam formação com o pai, sem instituição formal nomeada.;;;"outros; Museu Nacional de Belas Artes";Antuérpia;"antes da ida para a Itália; sem data exata na fonte";;media;51.25942418;4.371799938;100.0;40.8399833;14.2525421;100.0
Abraham Naton;Israel;Bucharest Art Academy;44.44366667;26.09016667;Reni;Kiryat Shaul Cemetery;Givatayim;male;https://www.beloosesky.com/artists/avraham-naton/biography | https://www.dangallery.co.il/artists/avraham-naton/;;As fontes consultadas usam a forma Avraham Naton.;;;"MAC; outros; MAC USP";Bucareste (Romênia);1930-1935;https://www.beloosesky.com/artists/avraham-naton/biography | https://www.dangallery.co.il/artists/avraham-naton/;alta;27.165741;76.739915;100.0;32.0708088;34.8128794;100.0
Abreu;;;;;;;;;;;"identificação incompleta; não foi possível desambiguar com segurança";;;outros;;;;;;;;;;
Achille Funi;Italy;"Brera Academy; Art School “Dosso Dossi”; Accademia di Brera";"44.83916666666666; 45.47222222";"11.6175; 9.18888889";Ferrara;;Appiano Gentile;male;https://www.laocoontegalleria.it/en/achille-funi/;;A data da etapa inicial em Ferrara não aparece com precisão no trecho consultado.;;;"MAC; outros; MAC USP";"Ferrara, Itália; Milão, Itália";"s.d.; 1906–1910";https://www.laocoontegalleria.it/en/achille-funi/;alta;44.8378378;11.6203994;100.0;45.7386111;8.9798518;100.0
Adam Martinakis;Poland;estudou Interior Architecture, Decorative Arts and Industrial Design em Atenas;37.98416666666667;23.72805555555556;Lubań, Poland;;;male;site oficial do artista;baixo;;site oficial do artista;alto;FILE;;;;;51.119999978;15.289444427;100.0;;;
Adam Pizurny;Slovakia;;;;Slovakia;;;male;;;;FILE Festival;alto;FILE;;;;;48.708702094;19.487749196;100.0;;;
Adam Winkels;Canada;;;;Canada;;;male;;;;FILE Festival (País de Origem);alto;FILE;;;;;;;;;;
Ademar Shimabukuro;;Pontifícia Universidade Católica de Campinas;-22.8346;-47.0476;;;;;https://www.escavador.com/sobre/1882197/ademar-kazumi-shimabukuro;;graduação em arquitetura e urbanismo;;;"MAC; outros; MAC USP";Campinas, Brasil;1991;https://www.escavador.com/sobre/1882197/ademar-kazumi-shimabukuro;media;;;;;;
Adir Sodré de Souza;;Ateliê Livre da Fundação Cultural de Mato Grosso;-20.468611111111;-54.622222222222;Rondonópolis, Mato Grosso, Brazil;;;male;https://museudeartesacra.org.br/2021/09/15/adir-sodre/;;"formação em ateliê; escola formal não localizada";Enciclopédia Itaú Cultural;alta;"MAC; outros; MAC USP";Cuiabá, Brasil;a partir de 1977;https://museudeartesacra.org.br/2021/09/15/adir-sodre/;alta;;;;;;
Adolf Methfessel;Switzerland;"aprendizagem como jardineiro; primeiras aulas de desenho em Bruxelas; estudos de arquitetura de jardins em Berlim; professor de desenho no State College of Tucumán";"50.84666666666666; 52.516666666667; -27";"4.351666666666667; 13.383333333333; -65.5";Bern;;Bern;male;"https://www.askart.com/bio/Adolf_Methfessel/11054168/Adolf_Methfessel | https://www.swissinfo.ch/por/cultura/o-artista-su%C3%AD%C3%A7o-que-documentou-a-guerra-da-tr%C3%ADplice-alian%C3%A7a/87475847; https://www.askart.com/bio/Adolf_Methfessel/11054168/Adolf_Methfessel";;"A fonte aberta mais específica informa aulas de desenho em Bruxelas em 1856 e estudos de arquitetura de jardins em Berlim; registrei a aprendizagem inicial de jardineiro como etapa formativa documentada.";;;"outros; Museu Paulista";"Berna; Bruxelas; Berlim; Tucumán";"1856; 1878-1885";https://www.askart.com/bio/Adolf_Methfessel/11054168/Adolf_Methfessel;media;46.948998594;7.437170775;100.0;46.948998594;7.437170775;100.0
Adolfo Matarelli;Kingdom of Italy;"Liceu de Artes e Ofícios de São Paulo; Accademia di Belle Arti di Roma";"-23.5331446; 41.9075";"-46.6267577; 12.4756";;monumental cemetery of Milan;Cisano Bergamasco;male;fontes biográficas de referência;;datas aproximadas;;;"outros; Museu da Inconfidência";"São Paulo, Brasil; Roma, Itália";"1910s; 1920s";fontes biográficas de referência;media;;;;45.7424838;9.4700594;100.0
Adolphe Martial-Potémont;France;"École des Beaux-Arts; aluno de Léon Cogniet";48.85666666666667;2.333611111111112;Paris;;Paris;male;https://en.wikipedia.org/wiki/Adolphe_Martial_Pot%C3%A9mont;;;;;"outros; Museu Nacional de Belas Artes";Paris;;;media;48.856372814;2.352529617;100.0;48.856372814;2.352529617;100.0
Adrian Dexter;;"European Film College; The Animation Workshop";"56.1937; 56.4561";"10.6913; 9.40611";;;;male;Animafest (biografia do autor);médio;"local de nascimento não localizado com segurança; pesquisa sem fonte robusta para local de nascimento";;;FILE;;;;;;;;;;
Adrian Flury;Switzerland;Lucerne University of Applied Sciences and Arts;47.014;8.306;Zug, Switzerland;;;male;"videokunst.ch; swissfilms";médio;;HSLU / videokunst.ch;alto;FILE;;;;;47.177534475;8.508559443;100.0;;;
Adriano Monteiro;Brazil;Universidade Estadual de Campinas;-22.817222222222;-47.069444444444;Brazil;;;male;FILE Festival;médio;"FILE explicita “País de Origem: Brazil”; preenchido em nível de país.";FILE Festival (País de Origem);alta;FILE;;;;alta;;;;;;
Adrien Cuvit;France;ARIES School of Graphic and Motion Design;48.85666666666667;2.352222222222222;France;;;male;FILE Festival;médio;;FILE Festival (País de Origem);alto;FILE;;;;;;;;;;
Adrien Henri Vital van Emelen;Belgium;"Escola de Belas Artes de Lovaina; estudos com Constantin Meunier; aperfeiçoamento com Auguste Rodin";50.8775;4.704444;Leuven;;São Paulo;male;https://pt.wikipedia.org/wiki/Adrien_Henri_Vital_van_Emelen;;;;;"outros; Museu Paulista";"Lovaina; Paris";"1892 em Paris; demais datas sem cronologia completa na fonte";https://pt.wikipedia.org/wiki/Adrien_Henri_Vital_van_Emelen;alta;50.882173608;4.705906182;100.0;-23.5486657;-46.6382522;100.0
Adrián Regnier;Mexico;"Escuela Nacional de Escultura, Pintura y Grabado ""La Esmeralda""; Universidad Veracruzana";19.353773;-99.13589;Mexico City;;;male;"site oficial do artista; Fundación CERGUI";alto;;;;FILE;;;;;19.430457906;-99.141684761;100.0;;;
Afro Basaldella;Italy;"Liceo Artistico Di Porta Romana E S.F.; Accademia di Belle Arti di Venezia";"43.7599; 45.4286";"11.24626; 12.3305";Udine;;Zurich;male;"biografia institucional do artista; fontes de referência";;"formação artística registrada de modo geral; datas aproximadas";;;"MAC; outros; MAC USP";Veneza, Itália;c. 1930s;"biografia institucional do artista; fontes de referência";media;46.0649418;13.2307247;100.0;47.38454096;8.529927493;100.0
Aggie Pak Yee Lee;Hong Kong;Estonian Academy of Arts;59;26;Hong Kong;;;female;Estonian Academy of Arts | FILE Festival;alto;;;;FILE;;;;;22.351958323;114.119385987;100.0;;;
Agostinho José da Mota;Brazil;"Academia Imperial de Belas Artes; Accademia di San Luca";"-22.91111111111111; 41.90166";"-43.20555555555556; 12.483586";Rio de Janeiro;;Rio de Janeiro;male;fontes biográficas de referência;;datas aproximadas;;;"outros; Museu Nacional de Belas Artes";"Rio de Janeiro, Brasil; Roma, Itália";"1840s; 1850s";fontes biográficas de referência;media;-22.9014475;-43.1789159;100.0;-22.9014475;-43.1789159;100.0
Agostino Masucci;Papal States;formação com Benedetto Luti e Carlo Maratta;;;Rome;;Rome;male;https://en.wikipedia.org/wiki/Agostino_Masucci | https://www.britannica.com/biography/Agostino-Masucci;;;;;"outros; Museu Nacional de Belas Artes";Roma;;;media;41.8905568;12.4942679;100.0;41.8905568;12.4942679;100.0
Agustín Abreu;Uruguay;"Universidad Modelo; University of Texas at El Paso; University of Pittsburgh";"21.0285; 31.77; 40.444565";"-89.5678; -106.505; -79.953274";Ciudad de México, México;;;male;ORCID;médio;"identificação alinhada pela formação; fonte indica nascimento em Ciudad de México; metadado de cidadania na planilha diverge";Biblioteca Virtual Sedeculta / Wikipedia;médio;"FILE; Museu da Inconfidência";;;;;;;;;;
Agustín Salinas Teruel;Spain;"Escuelas de Comercio, Artes y Oficios de Madrid; Escuela Superior de Bellas Artes; Academia Española de Roma";"40.41694444444445; 41.893055555556";"-3.703333333333333; 12.482777777778";Zaragoza;;Rome;male;"https://www.epdlp.com/pintor.php?id=8747 | https://pt.wikipedia.org/wiki/Augustin_Salinas_y_Teruel; https://www.epdlp.com/pintor.php?id=8747 | https://galeriandre.com.br/artistas-interna/375/augustin-salinas/";;"A grafia do creator foi mantida; as fontes também usam Augustin/Agostyn Salinas.";;;"outros; Museu Nacional de Belas Artes";"Madri; Roma";"até 1882; 1882-1885, com prorrogação em 1886-1887";https://www.epdlp.com/pintor.php?id=8747;alta;41.656837;-0.8794245;100.0;41.8905568;12.4942679;100.0
Ahron Giladi;;Bezalel Academy of Arts and Design;31.781166666666667;35.22361111111111;Gomel, Belarus;;;;fontes biográficas de referência;;;Israel Museum / galeria;médio;"MAC; outros; MAC USP";Jerusalém, Israel;s.d.;fontes biográficas de referência;media;;;;;;
Aieda Freitas;Brazil;Universidade Municipal de São Caetano do Sul;-23.6131956;-46.5712354;Brazil;;;female;Lar Galeria | Intercom Sudeste;médio;;FILE Festival (País de Origem);alto;FILE;;;;;-10.769946429;-53.073466889;100.0;;;
Ailadi;Italy;"Politecnico di Milano; ENSCI, Les Ateliers; Köln International School of Design";"45.47803055555556; 48.8584";"9.227319444444444; 2.3693";Italian Alps, Italy;;;female;site oficial da artista;alto;;Kinomural;médio;FILE;;;;;45013.0;6.9418;100.0;;;
Aimée;;;;;;;;;;;"identificação incompleta; não foi possível desambiguar com segurança";;;"MAC; outros; MAC USP";;;;;;;;;;
Akihito Ito;Japan;"Nagoya University of Arts; Nagoya City University";35.256;136.881056;Nagoya, Japan;;;male;perfil oficial do artista | ISEA Symposium Archives;alto;;site oficial (akihitoito.com);alto;FILE;;;;;35.18142047;136.90668338;100.0;;;
Alaa Omari;Palestine;American University of Sharjah;25.309722;55.490556;Palestine;;;;American University of Sharjah;alto;;;;FILE;;;;;31.912719787;35.204684057;100.0;;;
Alan Davie;United Kingdom;Edinburgh College of Art;55.9458;-3.19964;Grangemouth;;Hertford;male;"https://en.wikipedia.org/wiki/Alan_Davie; https://gulbenkian.pt/cam/artist/alan-davie/";;As fontes convergem para Edinburgh College of Art.;;;"MAC; outros; MAC USP";Edimburgo, Escócia;1937–1941;https://en.wikipedia.org/wiki/Alan_Davie;alta;56.019555095;-3.721883769;100.0;51.796979662;-0.076742238;100.0
Albert Bayona i Fernández;Spain;School of the Circle of Fine Arts;;;Lleida;;;male;Wikipedia;baixo;;;;FILE;;;;;41.6141646;0.6258029;100.0;;;
Albert Eckhout;Dutch Republic;formação em pintura com Gheert Roeleffs (tio);;;Groningen;;Groningen;male;https://pesquisaescolar.fundaj.gov.br/pt-br/artigo/eckhout-albert/ | https://www.guiadasartes.com.br/albert-van-der-eckhout/principais-obras;;"As fontes recuperadas não nomeiam uma academia formal; a formação aparece como aprendizado com o tio pintor.";;;"outros; Coleção Brasiliana Itaú";Países Baixos;antes de 1636;https://pesquisaescolar.fundaj.gov.br/pt-br/artigo/eckhout-albert/;media;53.219956308;6.564955801;100.0;53.219956308;6.564955801;100.0
Albert Gleizes;France;;;;Paris;;Saint-Rémy-de-Provence;male;https://en.wikipedia.org/wiki/Albert_Gleizes;;"Autodidata; não foi localizada instituição formal de ensino artístico.";;;"MAC; outros; MAC USP";Paris, França;c. 1901;https://en.wikipedia.org/wiki/Albert_Gleizes;media;48.856372814;2.352529617;100.0;43.788708024;4.831555932;100.0
Albert Merino;Spain;"University of Barcelona; Kunsthochschule Berlin-Weißensee";52.5581;13.4393;Barcelona, Spain;;;male;"CCCB; WRO Art Center";médio;;FILE Festival / CCCB;alto;FILE;;;;;41.387917;2.1699187;100.0;;;
Alberto André Feijó Delpino;;Escola Nacional de Belas Artes;-22.8625055;-43.2256622;;;;;fontes biográficas de referência;;datas aproximadas;;;"outros; Museu da Inconfidência";Rio de Janeiro, Brasil;1930s;fontes biográficas de referência;baixa;;;;;;
Alberto da Veiga Guignard;Brazil;"Academy of Fine Arts, Munich; Academias de Belas Artes de Munique";48.1531959202723;11.5803123911292;Nova Friburgo;Church of Saint Francis of Assisi (Ouro Preto);Belo Horizonte;male;Wikipédia;;estudos em Florença localizados, mas sem nome formal da instituição no trecho consultado;;;"MAC; outros; Museu da Inconfidência";"Munique, Alemanha; Florença, Itália";;;media;-22.2891837;-42.5345547;100.0;-19.9181771;-43.9370534;100.0
Alberto Lima;Portugal;;;;Porto;;;male;https://www.catalogodasartes.com.br/noticia/ABeU/;;A fonte indica início da pintura incentivado por Carlos Scliar, sem escola formal nomeada.;;;"outros; Museu Paulista";"formação autodidata; Cabo Frio, RJ";começa a pintar em 1973;https://www.catalogodasartes.com.br/noticia/ABeU/;media;41.1501526;-8.610318;100.0;;;
Alberto Magnelli;Italy;;;;Florence;Longs-Réages cemetery;Meudon;male;"https://prabook.com/web/alberto.magnelli/2557564; https://www.wikiart.org/en/alberto-magnelli";;"Autodidata; fontes consultadas indicam ausência de formação formal em escola de arte.";;;"MAC; outros; MAC USP";Florença, Itália;c. 1907;https://www.wikiart.org/en/alberto-magnelli;media;43.7686976;11.2569291;100.0;48.813028121;2.23857165;100.0
Alberto Salietti;Italy;Accademia di Brera;45.47222222;9.18888889;Ravenna;;Chiavari;male;"Wikipedia (it); Pittori Liguri";;;;;"MAC; outros; MAC USP";Milão, Itália;até 1914;"Wikipedia (it); Pittori Liguri";media;44.4157367;12.1965892;100.0;44.317063;9.3202459;100.0
Alberto Silva;;"Escola Industrial Infante D. Henrique; Escola de Belas Artes do Porto";"41.15068; 41.15";"-8.63128; -8.610833333333334";;;;male;https://sigarra.up.pt/up/pt/p/antigos%20estudantes%20ilustres%20-%20alberto%20silva | https://serralvesantiguidades.com/lote/alberto-silva-1882-1940;;Mantida identificação cautelosa por se tratar de nome relativamente comum.;;;"outros; Museu Histórico Nacional";Porto;1900-1909;https://sigarra.up.pt/up/pt/p/antigos%20estudantes%20ilustres%20-%20alberto%20silva;media;;;;;;
Alberto Teixeira;Brazil;"Sociedade Nacional de Belas Artes; aulas com Samson Flexor; Atelier-Abstração";"; ; ";"; ; ";São João do Estoril, Portugal;;;male;https://enciclopedia.itaucultural.org.br/pessoas/2955-alberto-teixeira | https://www.apap.art.br/associados/338/alberto-teixeira-em-memoria/;;;APAP;alto;"MAC; outros; MAC USP";"Lisboa (Portugal); São Paulo (SP); Paris (França)";"1947-1950; 1952-1955; 1956-1958";https://enciclopedia.itaucultural.org.br/pessoas/2955-alberto-teixeira | https://www.apap.art.br/associados/338/alberto-teixeira-em-memoria/;alta;;;;;;
Alcindo Da Conceiçao;France;ARIES School of Graphic and Motion Design;48.85666666666667;2.352222222222222;France;;;male;FILE Festival;médio;"FILE explicita “País de Origem: France”; preenchido em nível de país.";FILE Festival (País de Origem);alta;FILE;;;;alta;;;;;;
Aldemir Martins;Brazil;"Colégio Militar de Fortaleza; Ateneu São José";"-3.7275; -20.82";"-38.5275; -49.378888888889";Aurora;;São Paulo;male;https://pt.wikipedia.org/wiki/Aldemir_Martins;;;;;"MAC; outros; MAC USP";"Fortaleza, Brasil; Fortaleza, Brasil";"1934; 1939";https://pt.wikipedia.org/wiki/Aldemir_Martins;media;39.7129336;-104.8195761;100.0;-23.5486657;-46.6382522;100.0
Aldo Beck;Brazil;"formação com Manoel Francisco de Oliveira (""Maneca Margarida"")";;;Florianópolis;;Florianópolis;male;"artigo UDESC; site do artista";;"formação artística informal com o mestre Maneca Margarida; escola/instituição não localizada";;;"outros; Museu Victor Meirelles";Florianópolis, SC;;;media;-27.5969123;-48.5495751;100.0;-27.5969123;-48.5495751;100.0
Aldo Bonadei;Brazil;ateliê de Pedro Alexandrino;;;São Paulo;;São Paulo;male;Guia das Artes;;também frequentou o ateliê de Antonio Rocco;;;"MAC; outros; MAC USP";São Paulo;1923–1928;Guia das Artes;media;-23.5486657;-46.6382522;100.0;-23.5486657;-46.6382522;100.0
Aldo João Nunes;Brazil;"Grupo Escolar Arquidiocesano São José; Instituto de Educação de Santa Catarina (IEE)";"-23.58959; -27.593280555556";"-46.600006; -48.553047222222";;;;male;MASC;;"estudos iniciais no Grupo Escolar Arquidiocesano São José; ingressou no IEE em 1939 e concluiu o curso normal em 1944";;;"outros; Museu Victor Meirelles";Florianópolis, SC;1939–1944;MASC;alta;;;;;;
Alejandro Casales;Mexico;"Escuela Nacional de Música, Universidad Nacional Autónoma de México; Escuela Nacional de Pintura, Escultura y Grabado ""La Esmeralda""";19.328888888889;-99.187222222222;Mexico City, Mexico;;Axochiapan;male;FILE Festival;médio;;site oficial do artista;alto;FILE;;;;;19.430457906;-99.141684761;100.0;18.525238962;-98.752114012;100.0
Alejandro Cicarelli;Chile;"Instituto de Bellas Artes de Nápoles; estudos em Roma";"40.8516; 41.893055555556";"14.2512; 12.482777777778";Naples;;Santiago;male;https://es.wikipedia.org/wiki/Alejandro_Cicarelli;;;;;"outros; Pinacoteca de São Paulo";"Nápoles, Itália; Roma, Itália";"s.d.; s.d.";https://es.wikipedia.org/wiki/Alejandro_Cicarelli;media;40.8399833;14.2525421;100.0;-33.4459946;-70.6670569;100.0
Alejandro Thornton;Argentina;National School of Fine Arts Prilidiano Pueyrredon;-34.59171466023074;-58.39131357322754;Buenos Aires;;;male;;;;;;FILE;;;;;-34.6090264;-58.3732215;100.0;;;
Aleksander Kobzdej;Poland;"Jan Matejko Academy of Fine Arts in Krakow; Academy of Fine Arts in Kraków";"50.066389; 50.066389";"19.941667; 19.941667";Olesko;Powązki Military Cemetery;Warsaw;male;"biografia institucional do artista; fontes de referência";;datas aproximadas;;;"MAC; outros; MAC USP";Cracóvia, Polônia;c. 1946–1951;"biografia institucional do artista; fontes de referência";media;50.48064272;14.196104789;100.0;52.229827082;21.011731518;100.0
Alessandra Plaza Saravia;Peru;"Pontificia Universidad Católica del Perú; Universität der Künste Berlin";"-12.06944444444444; 52.50916666666667";"-77.07944444444445; 13.32694444444444";Lima;;;female;"PUCP (perfil docente); Decolonize Modul21";alto;;;;FILE;;;;;-12.04318;-77.02824;100.0;;;
Alessandro Amaducci;Italy;Università degli Studi di Torino;45.069444444444;7.6888888888889;Torino, Italy;;;male;Università degli Studi di Torino;alto;;site oficial / FILE Festival;alto;FILE;;;;;45.0683751;7.6830662;100.0;;;
Alessandro Massobrio;;"Istituto di Musica G. Verdi di Asti; University of Turin; C.I.B.R.A., University of Pavia";44.9;8.2069444444444;Torino, Italy;;;male;site oficial do artista | Symby;médio;;Artribune / Sinewaves;médio;FILE;;;;;45.0683751;7.6830662;100.0;;;
Alessandro Varotari;Republic of Venice;formação com o pai Dario Varotari the Elder;;;Padua;;Venice;male;https://en.wikipedia.org/wiki/Alessandro_Varotari | https://www.britannica.com/biography/Padovanino;;Também conhecido como Padovanino.;;;"outros; Museu Nacional de Belas Artes";"Pádua; Veneza";;;media;45.4095409;11.8765508;100.0;45.434608;12.338913;100.0
Alessio De Vecchi;Italy;Istituto Europeo di Design;45.44625233345661;9.194896909398269;Milan, Italy;;;male;FILE Festival;médio;;FILE Festival / WUF Magazine;alto;FILE;;;;;45.4636183;9.1881156;100.0;;;
Alex Flemming;Brazil;"Curso Livre de Cinema da Fundação Armando Álvares Penteado (FAAP); Faculdade de Arquitetura e Urbanismo da USP; estudos de serigrafia e gravura com Regina Silveira, Julio Plaza e Romildo Paiva; Pratt Institute Manhattan";-23.56012;-46.72985;São Paulo;;;male;"https://alexflemming.com.br/alexflemming/; https://www.ieb.usp.br/alex-flemming/; https://pt.wikipedia.org/wiki/Alex_Flemming";;Formação combinou curso livre, passagem universitária e estudos técnicos com artistas-professores.;;;"MAC; outros; MAC USP";"São Paulo, Brasil; São Paulo, Brasil; São Paulo, Brasil; Nova Iorque, Estados Unidos";"1972–1974; até 1976; 1979–1980; 1981–1983";"https://alexflemming.com.br/alexflemming/; https://www.ieb.usp.br/alex-flemming/";alta;-23.5486657;-46.6382522;100.0;;;
Alex Moy;United States;DePaul University;41.923558;-87.653542;United States;;;male;FILE Festival;médio;;FILE Festival (País de Origem);alto;FILE;;;;;39.398703156;-99.41461919;100.0;;;
Alexandre Cabanel;France;"Beaux-Arts de Paris; Montpellier School of Fine Arts; École des Beaux-Arts de Paris; Villa Medici";"43.61755318089179; 41.908333333333";"3.884139069434952; 12.4825";Montpellier;cemetery Saint-Lazare (Montpellier);Paris;male;https://en.wikipedia.org/wiki/Alexandre_Cabanel;;;;;"outros; Museu Nacional de Belas Artes";"Montpellier; Paris; Roma";"1839; 1840; 1845-1850";https://en.wikipedia.org/wiki/Alexandre_Cabanel;alta;43.598499355;3.896845979;100.0;48.856372814;2.352529617;100.0
Alexandre Cruz (Sesper);;;;;Santos, São Paulo, Brazil;;;;;;;Itaú Cultural;alto;"MAC; outros; MAC USP";;;;;;;;;;
Alexandre Estebanez;United States;;;;United States;;;male;;;;FILE Festival (País de Origem);alto;FILE;;;;;39.398703156;-99.41461919;100.0;;;
Alexandre Mário Parko;;"formação acadêmica em São Paulo; instituição não identificada na fonte aberta consultada";-23.550394444444;-46.633947222222;;;;male;https://www.catalogodasartes.com.br/;;"Dados insuficientes para nomear escola oficial; mantido em formulação prudente.";;;"outros; Museu Histórico Nacional";São Paulo;;;baixa;;;;;;
Alexandre Veaux;France;Supinfocom – RUBIKA;50.35805555555555;3.523333333333333;France;;;male;"portfólio oficial do artista; FILE Festival";alto;;FILE Festival (País de Origem);alta;FILE;;;;alta;;;;;;
Alexandre Wollner;Brazil;"Instituto de Arte Contemporânea do Museu de Arte de São Paulo; Hochschule für Gestaltung Ulm";"-23.56111111111111; 48.3806";"-46.65583333333333; 9.95278";São Paulo;;São Paulo;male;"https://pt.wikipedia.org/wiki/Alexandre_Wollner; https://enciclopedia.itaucultural.org.br/instituicoes/75180-hochschule-fur-gestaltung-ulm-hfg";;"instituições identificadas; datas não localizadas";;;"MAC; outros; MAC USP";"São Paulo, Brasil; Ulm, Alemanha";;;media;-23.5486657;-46.6382522;100.0;-23.5486657;-46.6382522;100.0
Alexis Marie Lahaye;France;atelier de Carolus-Duran;;;Paris;;;male;https://fr.wikipedia.org/wiki/Alexis_Marie_Lahaye;;A formação recuperada é em ateliê, não em academia formal explicitada na fonte consultada.;;;"outros; Museu Nacional de Belas Artes";Paris;;;media;48.856372814;2.352529617;100.0;;;
Alfonso Pretelt;Colombia;University of Barcelona;41.386666666667;2.1638888888889;Bogotá, Colombia;;;;site do artista;médio;;Sonic Matter / Intermediaciones;alto;FILE;;;;;4.6068824;-74.071837;100.0;;;
Alfred Leslie;United States;"New York University; Art Students League; Pratt Institute";"40.73; 40.766083333333; 40.691111";"-73.995; -73.980861111111; -73.963889";New York City;;Brooklyn;male;"https://ngabiographies.org/biographies/alfredleslie; https://en.wikipedia.org/wiki/Alfred_Leslie";;Datas da Pratt Institute não apareceram com precisão nas fontes revisadas.;;;"MAC; outros; MAC USP";"Nova York, EUA; Nova York, EUA; Nova York, EUA";"c. 1946; 1947–1949; s.d.";https://ngabiographies.org/biographies/alfredleslie;media;40.7130466;-74.0072301;100.0;40.692529;-73.990996;100.0
Alfred Manessier;France;"Beaux-Arts de Paris; Amiens Higher School of Art and Design";49.891944444444;2.2977777777778;Saint-Ouen;Saint-Ouen;Orléans;male;MAC_consolidado_normalized.csv / enriched_batch1.csv;;"dados recuperados de base auxiliar; datas não localizadas";;;"MAC; outros; MAC USP";"Paris, França; Amiens, França";;;alta;49.237305387922;-2.21881450916;100.0;47.902857326;1.909331693;100.0
Alfred Sisley;United Kingdom of Great Britain and Ireland;"Beaux-Arts de Paris; Atelier de Marc-Charles-Gabriel Gleyre, École des Beaux-Arts";48.85666666666667;2.333611111111112;former 4th arrondissement of Paris;Moret-sur-Loing;cemetery of Moret-sur-Loing;male;Wikipédia;;formação no ateliê de Gleyre;;;"outros; Museu Nacional de Belas Artes";Paris;1862–1863;Wikipédia;media;48.8561982;2.3556748;88.0;48.37239;2.81713;86.04
