creator;country of citizenship;educated at;lat_educated_at;lon_educated_at;place of birth;place of burial;place of death;sex or gender;fonte_educated_at;confianca_educated_at;observacoes_pesquisa;fonte_place_of_birth;confianca_place_of_birth;acervo;onde estudou;datas em que estudou;fonte_datas_estudo;confianca_preenchimento;lat_birth;lon_birth;score_birth;lat_death;lon_death;score_death;fonte_place_of_death;fonte_lat_death;fonte_lon_death;observacoes_place_of_death;confianca_place_of_death
Adir Sodré de Souza;Brazil;Ateliê Livre da Fundação Cultural de Mato Grosso;-20.468611111111;-54.622222222222;Rondonópolis, Mato Grosso, Brazil;;Cuiabá;male;https://museudeartesacra.org.br/2021/09/15/adir-sodre/;;formação em ateliê> escola formal não localizada;Enciclopédia Itaú Cultural;alta;MAC USP;Cuiabá, Brasil;a partir de 1977;https://museudeartesacra.org.br/2021/09/15/adir-sodre/;alta;-16.470833;-54.635556;;-15.5958333333;-56.0969444444;;Prefeitura de Cuiabá;Wikidata: Cuiabá (Q170762);Wikidata: Cuiabá (Q170762);;alta
Adolf Methfessel;Switzerland;aprendizagem como jardineiro> primeiras aulas de desenho em Bruxelas> estudos de arquitetura de jardins em Berlim> professor de desenho no State College of Tucumán;50.84666666666666> 52.516666666667> -27;4.351666666666667> 13.383333333333> -65.5;Bern;;Bern;male;https://www.askart.com/bio/Adolf_Methfessel/11054168/Adolf_Methfessel | https://www.swissinfo.ch/por/cultura/o-artista-su%C3%AD%C3%A7o-que-documentou-a-guerra-da-tr%C3%ADplice-alian%C3%A7a/87475847> https://www.askart.com/bio/Adolf_Methfessel/11054168/Adolf_Methfessel;;A fonte aberta mais específica informa aulas de desenho em Bruxelas em 1856 e estudos de arquitetura de jardins em Berlim> registrei a aprendizagem inicial de jardineiro como etapa formativa documentada.;Wikidata;alta;Museu Paulista;Berna> Bruxelas> Berlim> Tucumán;1856> 1878-1885;https://www.askart.com/bio/Adolf_Methfessel/11054168/Adolf_Methfessel;media;46.948998594;7.437170775;100.0;46.9479805556;7.4474305556;100.0;DSI / Univ. Stuttgart;Wikidata: Bern (Q70);Wikidata: Bern (Q70);;alta
Adolfo Matarelli;Kingdom of Italy;Liceu de Artes e Ofícios de São Paulo> Accademia di Belle Arti di Roma;-23.5331446> 41.9075;-46.6267577> 12.4756;Firenze, Itália;monumental cemetery of Milan;Cisano Bergamasco;male;fontes biográficas de referência;;datas aproximadas;Gonnelli Casa d’Aste;media;Museu da Inconfidência;São Paulo, Brasil> Roma, Itália;1910s> 1920s;fontes biográficas de referência;media;43.7686976;11.2569291;;45.7430555556;9.4708333333;100.0;"Wikipedia it; Italia Turrita";Wikidata: Cisano Bergamasco (Q100368);Wikidata: Cisano Bergamasco (Q100368);"fonte secundária convergente; sem fonte institucional direta localizada";media
Adolphe Martial-Potémont;France;École des Beaux-Arts> aluno de Léon Cogniet;48.85666666666667;2.333611111111112;Paris;;Paris;male;https://en.wikipedia.org/wiki/Adolphe_Martial_Pot%C3%A9mont;;;Wikidata;alta;Museu Nacional de Belas Artes;Paris;;;media;48.856372814;2.352529617;100.0;48.8566666667;2.3522222222;100.0;Musée Léon Dierx;Wikidata: Paris (Q90);Wikidata: Paris (Q90);;alta
Adrian Dexter;United States of America;European Film College> The Animation Workshop;56.1937> 56.4561;10.6913> 9.40611;;;;male;Animafest (biografia do autor);médio;local de nascimento não localizado com segurança> pesquisa sem fonte robusta para local de nascimento;;;FILE;;;;;;;;;;;;;;"perfil oficial/FILE recente; sem óbito identificado";
Adrian Flury;Switzerland;Lucerne University of Applied Sciences and Arts;47.014;8.306;Zug, Switzerland;;;male;videokunst.ch> swissfilms;médio;;HSLU / videokunst.ch;alto;FILE;;;;;47.177534475;8.508559443;100.0;;;;;;;"perfil recente de artista em atividade; sem óbito identificado";
Adriano Monteiro;Brazil;Universidade Estadual de Campinas;-22.817222222222;-47.069444444444;Brazil;;;male;FILE Festival;médio;FILE explicita “País de Origem: Brazil”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;alta;-10.769946429;-53.073466889;100.0;;;;;;;"site pessoal recente; sem óbito identificado";
Adrien Cuvit;France;ARIES School of Graphic and Motion Design;48.85666666666667;2.352222222222222;France;;;male;FILE Festival;médio;;FILE Festival (País de Origem);alto;FILE;;;;;46.559417044;2.550539953;100.0;;;;;;;perfil FILE sem referência de óbito;
Adrien Henri Vital van Emelen;Belgium;Escola de Belas Artes de Lovaina> estudos com Constantin Meunier> aperfeiçoamento com Auguste Rodin;50.8775;4.704444;Leuven;;São Paulo;male;https://pt.wikipedia.org/wiki/Adrien_Henri_Vital_van_Emelen;;;Wikidata;alta;Museu Paulista;Lovaina> Paris;1892 em Paris> demais datas sem cronologia completa na fonte;https://pt.wikipedia.org/wiki/Adrien_Henri_Vital_van_Emelen;alta;50.882173608;4.705906182;100.0;-23.5503944444;-46.6339472222;100.0;Biblioteca Nacional / Sophia;Wikidata: São Paulo (Q174);Wikidata: São Paulo (Q174);"autoridade secundária; local de morte convergente";media
Adrián Regnier;Mexico;"Escuela Nacional de Escultura, Pintura y Grabado ""La Esmeralda""; Universidad Veracruzana";19.353773;-99.13589;Mexico City;;;male;site oficial do artista> Fundación CERGUI;alto;;Wikidata;alta;FILE;;;;;19.430457906;-99.141684761;100.0;;;;;;;"biografia oficial recente; sem óbito identificado";
Afro Basaldella;Italy;Liceo Artistico Di Porta Romana E S.F.> Accademia di Belle Arti di Venezia;43.7599> 45.4286;11.24626> 12.3305;Udine;;Zurich;male;biografia institucional do artista> fontes de referência;;formação artística registrada de modo geral> datas aproximadas;Wikidata;alta;MAC USP;Veneza, Itália;c. 1930s;biografia institucional do artista> fontes de referência;media;46.0649418;13.2307247;100.0;47.3744444444;8.5411111111;100.0;Peggy Guggenheim Collection;Wikidata: Zurich (Q72);Wikidata: Zurich (Q72);;alta
Aggie Pak Yee Lee;Hong Kong;Estonian Academy of Arts;59;26;Hong Kong;;;female;Estonian Academy of Arts | FILE Festival;alto;;Wikidata;alta;FILE;;;;;22.351958323;114.119385987;100.0;;;;;;;"biografia FILE indica artista nascida em 1989 e atuante; sem óbito identificado";
Agostinho José da Mota;Brazil;Academia Imperial de Belas Artes> Accademia di San Luca;-22.91111111111111> 41.90166;-43.20555555555556> 12.483586;Rio de Janeiro;;Rio de Janeiro;male;fontes biográficas de referência;;datas aproximadas;Wikidata;alta;Museu Nacional de Belas Artes;Rio de Janeiro, Brasil> Roma, Itália;1840s> 1850s;fontes biográficas de referência;media;-22.9014475;-43.1789159;100.0;-22.9111111111;-43.2055555556;100.0;Enciclopédia Itaú Cultural;Wikidata: Rio de Janeiro (Q8678);Wikidata: Rio de Janeiro (Q8678);;alta
Agostino Masucci;Papal States;formação com Benedetto Luti e Carlo Maratta;41.893055555556;12.482777777778;Rome;;Rome;male;https://en.wikipedia.org/wiki/Agostino_Masucci | https://www.britannica.com/biography/Agostino-Masucci;;;Wikidata;alta;Museu Nacional de Belas Artes;Roma;;;media;41.8905568;12.4942679;100.0;41.8930555556;12.4827777778;100.0;National Galleries of Scotland;Wikidata: Rome (Q220);Wikidata: Rome (Q220);;alta
Agustín Abreu;Uruguay;Universidad Modelo> University of Texas at El Paso> University of Pittsburgh;21.0285> 31.77> 40.444565;-89.5678> -106.505> -79.953274;Ciudad de México, México;;;male;ORCID;médio;identificação alinhada pela formação> fonte indica nascimento em Ciudad de México> metadado de cidadania na planilha diverge;Biblioteca Virtual Sedeculta / Wikipedia;médio;FILE> Museu da Inconfidência;;;;;19.430457906;-99.141684761;;;;;;;;"ORCID e fontes recentes indicam autor em atividade; sem óbito identificado";
Agustín Salinas Teruel;Spain;Escuelas de Comercio, Artes y Oficios de Madrid> Escuela Superior de Bellas Artes> Academia Española de Roma;40.41694444444445> 41.893055555556;-3.703333333333333> 12.482777777778;Zaragoza;;Rome;male;https://www.epdlp.com/pintor.php?id=8747 | https://pt.wikipedia.org/wiki/Augustin_Salinas_y_Teruel> https://www.epdlp.com/pintor.php?id=8747 | https://galeriandre.com.br/artistas-interna/375/augustin-salinas/;;A grafia do creator foi mantida> as fontes também usam Augustin/Agostyn Salinas.;Wikidata;alta;Museu Nacional de Belas Artes;Madri> Roma;até 1882> 1882-1885, com prorrogação em 1886-1887;https://www.epdlp.com/pintor.php?id=8747;alta;41.656837;-0.8794245;100.0;41.8930555556;12.4827777778;100.0;"Wikipedia es; Galeria André";Wikidata: Rome (Q220);Wikidata: Rome (Q220);"fontes divergentes sobre o ano de morte; local convergente: Roma";media
Ahron Giladi;Israel;Bezalel Academy of Arts and Design;31.781166666666667;35.22361111111111;Gomel, Belarus;;;male;fontes biográficas de referência;;;Israel Museum / galeria;médio;MAC USP;Jerusalém, Israel;s.d.;fontes biográficas de referência;media;52.425163;31.015039;;;;;;;;fonte institucional localizada para trajetória e data, mas local de morte não confirmado com segurança;
Aieda Freitas;Brazil;Universidade Municipal de São Caetano do Sul;-23.6131956;-46.5712354;Brazil;;;female;Lar Galeria | Intercom Sudeste;médio;;FILE Festival (País de Origem);alto;FILE;;;;;-10.769946429;-53.073466889;100.0;;;;;;;site oficial e FILE sem referência de óbito;
Ailadi;Italy;Politecnico di Milano> ENSCI, Les Ateliers> Köln International School of Design;45.47803055555556> 48.8584;9.227319444444444> 2.3693;Italian Alps, Italy;;;female;site oficial da artista;alto;;Kinomural;médio;FILE;;;;;45.013;6.9418;100.0;;;;;;;"perfil autoral recente; sem óbito identificado";
Aimée;;;;;Argentina;;;;;;fonte institucional informa apenas país de nascimento | nome monônimo e fontes abertas insuficientes para desambiguar a trajetória educacional;MAC USP;alta;MAC USP;;;;;-38.416097;-63.616672;;;;;;;;"nome monônimo; identidade não desambiguada com segurança";
Akihito Ito;Japan;Nagoya University of Arts> Nagoya City University;35.256;136.881056;Nagoya, Japan;;;male;perfil oficial do artista | ISEA Symposium Archives;alto;;site oficial (akihitoito.com);alto;FILE;;;;;35.18142047;136.90668338;100.0;;;;;;;"artista em atividade em fonte recente; sem óbito identificado";
Alaa Omari;Palestine;American University of Sharjah;25.309722;55.490556;Palestine;;;;American University of Sharjah;alto;;Wikidata;alta;FILE;;;;;31.912719787;35.204684057;100.0;;;;;;;"artista em atividade em fonte recente; sem óbito identificado";
Alan Davie;United Kingdom;Edinburgh College of Art;55.9458;-3.19964;Grangemouth;;Hertford;male;https://en.wikipedia.org/wiki/Alan_Davie> https://gulbenkian.pt/cam/artist/alan-davie/;;As fontes convergem para Edinburgh College of Art.;Wikidata;alta;MAC USP;Edimburgo, Escócia;1937–1941;https://en.wikipedia.org/wiki/Alan_Davie;alta;56.019555095;-3.721883769;100.0;51.795;-0.078055556;100.0;"Wikipedia; Hertford Arts Hub";Wikidata: Hertford;Wikidata: Hertford;;media
Albert Bayona i Fernández;Spain;School of the Circle of Fine Arts;41.6141646;0.6258029;Lleida;;;male;Wikipedia;baixo;;Wikidata;alta;FILE;;;;;41.6141646;0.6258029;100.0;;;;;;;"artista em atividade em fonte recente; sem óbito identificado";
Albert Eckhout;Dutch Republic;formação em pintura com Gheert Roeleffs (tio);;;Groningen;;Groningen;male;https://pesquisaescolar.fundaj.gov.br/pt-br/artigo/eckhout-albert/ | https://www.guiadasartes.com.br/albert-van-der-eckhout/principais-obras;;As fontes recuperadas não nomeiam uma academia formal> a formação aparece como aprendizado com o tio pintor.;Wikidata;alta;Coleção Brasiliana Itaú;Países Baixos;antes de 1636;https://pesquisaescolar.fundaj.gov.br/pt-br/artigo/eckhout-albert/;media;53.219956308;6.564955801;100.0;53.218888889;6.5675;100.0;Enciclopédia Itaú Cultural;Wikidata: Groningen;Wikidata: Groningen;;alta
Albert Gleizes;France;autodidata;48.856372814;2.352529617;Paris;;Avignon;male;https://en.wikipedia.org/wiki/Albert_Gleizes;media;Autodidata> não foi localizada instituição formal de ensino artístico.;Wikidata;alta;MAC USP;Paris, França;c. 1901;https://en.wikipedia.org/wiki/Albert_Gleizes;media;48.856372814;2.352529617;100.0;43.948611111;4.808333333;100.0;"Britannica; The Met";Wikidata: Avignon;Wikidata: Avignon;"fontes divergentes: arquivo trazia Saint-Rémy-de-Provence; Britannica e The Met indicam Avignon";media
Albert Merino;Spain;University of Barcelona> Kunsthochschule Berlin-Weißensee;52.5581;13.4393;Barcelona, Spain;;;male;CCCB> WRO Art Center;médio;;FILE Festival / CCCB;alto;FILE;;;;;41.387917;2.1699187;100.0;;;;;;;"artista em atividade em fonte recente; sem óbito identificado";
Alberto André Feijó Delpino;Brazil;Escola Nacional de Belas Artes;-22.8625055;-43.2256622;;;Belo Horizonte;;fontes biográficas de referência;;datas aproximadas;;;Museu da Inconfidência;Rio de Janeiro, Brasil;1930s;fontes biográficas de referência;baixa;;;;-19.928055556;-43.941944444;100.0;Enciclopédia Itaú Cultural;Wikidata: Belo Horizonte;Wikidata: Belo Horizonte;;alta
Alberto da Veiga Guignard;Brazil;Academy of Fine Arts, Munich> Academias de Belas Artes de Munique;48.1531959202723;11.5803123911292;Nova Friburgo;Church of Saint Francis of Assisi (Ouro Preto);Belo Horizonte;male;Wikipédia;;estudos em Florença localizados, mas sem nome formal da instituição no trecho consultado;Wikidata;alta;Museu da Inconfidência;Munique, Alemanha> Florença, Itália;;;media;-22.2891837;-42.5345547;100.0;-19.928055556;-43.941944444;100.0;"Enciclopédia Itaú Cultural; Secult MG";Wikidata: Belo Horizonte;Wikidata: Belo Horizonte;;alta
Alberto Lima;Portugal;;;;Porto;;;male;https://www.catalogodasartes.com.br/noticia/ABeU/;;A fonte indica início da pintura incentivado por Carlos Scliar, sem escola formal nomeada. | fonte localizada menciona incentivo de Carlos Scliar, sem formação ou instituição explicitada;Wikidata;alta;Museu Paulista;formação autodidata> Cabo Frio, RJ;começa a pintar em 1973;https://www.catalogodasartes.com.br/noticia/ABeU/;media;41.1501526;-8.610318;100.0;;;;;;;data de falecimento localizada, mas local de morte não encontrado com segurança;
Alberto Magnelli;Italy;autodidata;43.7686976;11.2569291;Florence;Longs-Réages cemetery;Meudon;male;https://en.wikipedia.org/wiki/Alberto_Magnelli;media;Autodidata> fontes consultadas indicam ausência de formação formal em escola de arte.;Wikidata;alta;MAC USP;Florença, Itália;c. 1907;https://www.wikiart.org/en/alberto-magnelli;media;43.7686976;11.2569291;100.0;48.8075;2.240277778;100.0;Centre Pompidou;Wikidata: Meudon;Wikidata: Meudon;;alta
Alberto Salietti;Italy;Accademia di Brera;45.47222222;9.18888889;Ravenna;;Chiavari;male;Wikipedia (it)> Pittori Liguri;;;Wikidata;alta;MAC USP;Milão, Itália;até 1914;Wikipedia (it)> Pittori Liguri;media;44.4157367;12.1965892;100.0;44.316411111;9.323736111;100.0;Wikipedia it;Wikidata: Chiavari;Wikidata: Chiavari;;media
Alberto Silva;;Escola Industrial Infante D. Henrique> Escola de Belas Artes do Porto;41.15068> 41.15;-8.63128> -8.610833333333334;Porto, Portugal;;;male;https://sigarra.up.pt/up/pt/p/antigos%20estudantes%20ilustres%20-%20alberto%20silva | https://serralvesantiguidades.com/lote/alberto-silva-1882-1940;;Mantida identificação cautelosa por se tratar de nome relativamente comum.;"U.Porto; Leiloeira Serralves";alta;Museu Histórico Nacional;Porto;1900-1909;https://sigarra.up.pt/up/pt/p/antigos%20estudantes%20ilustres%20-%20alberto%20silva;media;41.1501526;-8.610318;;;;;;;;homônimo não desambiguado com segurança;
Alberto Teixeira;Brazil;Sociedade Nacional de Belas Artes> aulas com Samson Flexor> Atelier-Abstração;> > ;> > ;São João do Estoril, Portugal;;Campinas;male;https://enciclopedia.itaucultural.org.br/pessoas/2955-alberto-teixeira | https://www.apap.art.br/associados/338/alberto-teixeira-em-memoria/;;;APAP;alto;MAC USP;Lisboa (Portugal)> São Paulo (SP)> Paris (França);1947-1950> 1952-1955> 1956-1958;https://enciclopedia.itaucultural.org.br/pessoas/2955-alberto-teixeira | https://www.apap.art.br/associados/338/alberto-teixeira-em-memoria/;alta;38.697;-9.361;;-22.900833333;-47.057222222;100.0;"Centro de Memória Unicamp; Enciclopédia Itaú Cultural";Wikidata: Campinas;Wikidata: Campinas;;alta
Alcindo Da Conceiçao;France;ARIES School of Graphic and Motion Design;48.85666666666667;2.352222222222222;France;;;male;FILE Festival;médio;FILE explicita “País de Origem: France”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;alta;46.559417044;2.550539953;100.0;;;;;;;"artista em atividade em fonte recente; sem óbito identificado";
Aldemir Martins;Brazil;Colégio Militar de Fortaleza> Ateneu São José;-3.7275> -20.82;-38.5275> -49.378888888889;Aurora;;São Paulo;male;https://pt.wikipedia.org/wiki/Aldemir_Martins;;;Wikidata;alta;MAC USP;Fortaleza, Brasil> Fortaleza, Brasil;1934> 1939;https://pt.wikipedia.org/wiki/Aldemir_Martins;media;39.7129336;-104.8195761;100.0;-23.550394444;-46.633947222;100.0;Assembleia Legislativa do Estado de São Paulo;Wikidata: São Paulo;Wikidata: São Paulo;;alta
Aldo Beck;Brazil;"formação com Manoel Francisco de Oliveira (""Maneca Margarida"""")""";-27.60111111;-48.52;Florianópolis;;;male;artigo UDESC> site do artista;;formação artística informal com o mestre Maneca Margarida> escola/instituição não localizada;Wikidata;alta;Museu Victor Meirelles;Florianópolis, SC;;;media;-27.5969123;-48.5495751;100.0;;;;;;;ano de morte localizado, mas local de morte não aparece de forma explícita nas fontes consultadas;
Aldo Bonadei;Brazil;ateliê de Pedro Alexandrino;-23.550394444444;-46.633947222222;São Paulo;;São Paulo;male;Guia das Artes;;também frequentou o ateliê de Antonio Rocco;Wikidata;alta;MAC USP;São Paulo;1923–1928;Guia das Artes;media;-23.5486657;-46.6382522;100.0;-23.550394444;-46.633947222;100.0;FAPESP;Wikidata: São Paulo;Wikidata: São Paulo;;alta
Aldo João Nunes;Brazil;Grupo Escolar Arquidiocesano São José> Instituto de Educação de Santa Catarina (IEE);-23.58959> -27.593280555556;-46.600006> -48.553047222222;Florianópolis, SC, Brasil;;;male;MASC;;estudos iniciais no Grupo Escolar Arquidiocesano São José> ingressou no IEE em 1939 e concluiu o curso normal em 1944;MASC;alta;Museu Victor Meirelles;Florianópolis, SC;1939–1944;MASC;alta;-27.5969123;-48.5495751;;;;;;;;ano de morte localizado, mas local de morte não encontrado com segurança;
Alejandro Casales;Mexico;"Escuela Nacional de Música, Universidad Nacional Autónoma de México> Escuela Nacional de Pintura, Escultura y Grabado ""La Esmeralda""""""";19.328888888889;-99.187222222222;Mexico City, Mexico;;Axochiapan;male;FILE Festival;médio;;site oficial do artista;alto;FILE;;;;;19.430457906;-99.141684761;100.0;18.503055556;-98.751944444;100.0;Wikipedia es;Wikidata: Axochiapan;Wikidata: Axochiapan;;media
