creator;data de nascimento;data de morte;country of citizenship;educated at;lat_educated_at;lon_educated_at;place of birth;place of death;sex or gender;fonte_educated_at;confianca_educated_at;observacoes_pesquisa;fonte_place_of_birth;confianca_place_of_birth;acervo;confianca_preenchimento;lat_birth;lon_birth;score_birth;lat_death;lon_death;score_death;fonte_place_of_death;observacoes_place_of_death;confianca_place_of_death;fonte_data_de_nascimento;fonte_data_de_morte;observacoes_datas_biograficas;confianca_datas_biograficas
Abraham Naton;1906;1959;Israel;Bucharest Art Academy;44.44366667;26.09016667;Bessarabka, Russia;Israel;male;https://www.beloosesky.com/artists/avraham-naton/biography | https://www.dangallery.co.il/artists/avraham-naton/;low;As fontes consultadas usam a forma Avraham Naton.;https://acervo.mac.usp.br/acervo/index.php/Detail/entities/5771;high;MAC USP;high;;;100.0;;;100.0;https://acervo.mac.usp.br/acervo/index.php/Detail/entities/5771;"Local de morte mantido; coordenadas ajustadas para a cidade de Givatayim.";high;https://acervo.mac.usp.br/acervo/index.php/Detail/entities/5771;https://acervo.mac.usp.br/acervo/index.php/Detail/entities/5771;anos confirmados em fontes institucionais israelenses;high
Abreu;;;;;;;;;;;;identificação incompleta> não foi possível desambiguar com segurança;;;;;;;;;;;;"Identificação incompleta; não desambiguada com segurança.";;;;"sobrenome isolado; identidade não desambiguada";
Achille Funi;1890;1972;Italy;Accademia di Belle Arti di Brera > Art School “Dosso Dossi” >;45.47222222 > 44.83916666666666 >;9.18888889 > 11.6175 >;Ferrara;Appiano Gentile;male;https://it.wikipedia.org/wiki/Achille_Funi;medium;A data da etapa inicial em Ferrara não aparece com precisão no trecho consultado.;Wikidata;high;MAC USP;high;44.8378378;11.6203994;100.0;45.7383333333;8.9797222222;100.0;https://en.wikipedia.org/wiki/Achille_Funi;"Local de morte mantido; coordenadas ajustadas para o comune de Appiano Gentile.";medium;Accademia Nazionale di San Luca > Wikidata > Ulan;Accademia Nazionale di San Luca > Wikidata > Ulan;datas completas confirmadas em fonte institucional;high
Adam Martinakis;1972;;Poland;studied Interior Architecture, Decorative Arts and Industrial Design in Athens;37.98416666666667;23.72805555555556;Lubań, Poland;;male;site oficial do artista;high;;site oficial do artista;high;FILE;;51.119999978;15.289444427;100.0;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;;site oficial de Adam Martinakis | FILE > Wikidata;;fonte oficial explicita apenas o ano de nascimento;high
Adam Pizurny;;;Slovakia;;;;Slovakia;;male;;;biografias localizadas neste lote não informam formação;FILE Festival;high;FILE;;48.708702094;19.487749196;100.0;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;;;;não localizadas datas biográficas em fonte auditável;
Adam Winkels;;;Canada;;;;Canada;;male;;;biografias localizadas neste lote informam atuação profissional, sem formação explícita;FILE Festival (País de Origem);high;FILE;;60.10867;-113.64258;100.0;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;;;;não localizadas datas biográficas em fonte auditável;
Ademar Shimabukuro;1962;;;Pontifícia Universidade Católica de Campinas (PUC-Campinas);-22.8346;-47.0476;Campinas, SP, Brazil;;male;https://www.escavador.com/sobre/1882197/ademar-kazumi-shimabukuro;medium;graduação em arquitetura e urbanismo;MAC USP;high;MAC USP;medium;-22.9073702;-47.0628996;;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;;Itaú Cultural;;data de nascimento explicitada em enciclopédia institucional;high
Adir Sodré de Souza;1962;2020;Brazil;Ateliê Livre da Fundação Cultural de Mato Grosso;-20.468611111111;-54.622222222222;Rondonópolis, Mato Grosso, Brazil;Cuiabá;male;https://museudeartesacra.org.br/2021/09/15/adir-sodre/;high;formação em ateliê> escola formal não localizada;Enciclopédia Itaú Cultural;high;MAC USP;high;-16.470833;-54.635556;;-15.5958333333;-56.0969444444;;Prefeitura de Cuiabá;;high;Itaú Cultural > Wikidata;Itaú Cultural > Wikidata;mantidos apenas os anos, confirmados em fonte institucional;high
Adolf Methfessel;1836;1909;Switzerland;apprenticeship as a gardener > first drawing classes in Brussels > studies in garden architecture in Berlin >; > 50.84666666666666 > 52.516666666667 >; > 4.351666666666667 > 13.383333333333 >;Bern;Bern;male;https://www.askart.com/bio/Adolf_Methfessel/11054168/Adolf_Methfessel | https://www.swissinfo.ch/por/cultura/o-artista-su%C3%AD%C3%A7o-que-documentou-a-guerra-da-tr%C3%ADplice-alian%C3%A7a/87475847> https://www.askart.com/bio/Adolf_Methfessel/11054168/Adolf_Methfessel;high;A fonte aberta mais específica informa aulas de desenho em Bruxelas em 1856 e estudos de arquitetura de jardins em Berlim> registrei a aprendizagem inicial de jardineiro como etapa formativa documentada.;Wikidata;high;Museu Paulista;medium;46.948998594;7.437170775;100.0;46.9479805556;7.4474305556;100.0;DSI / Univ. Stuttgart;;high;Schweizerisches Kunstarchiv (SIK-ISEA) > Ulan;Schweizerisches Kunstarchiv (SIK-ISEA) > Ulan;datas completas confirmadas em autoridade suíça;high
Adolfo Matarelli;1832;1887;Kingdom of Italy;;;;Florence, Italy;Cisano Bergamasco;male;;;No academic education or documented training was reliably located for Adolfo Matarelli.;Gonnelli Casa d’Aste;medium;Museu da Inconfidência;medium;43.7696;11.2558;;45.7430555556;9.4708333333;100.0;"Wikipedia it; Italia Turrita";"fonte secundária convergente; sem fonte institucional direta localizada";medium;The Morgan Library & Museum > Wikidata;The Morgan Library & Museum > Wikidata;fonte consultada explicita apenas os anos;high
Adolphe Martial-Potémont;1828;1883;France;École des Beaux-Arts de Paris;48.853997;2.333500;Paris;Paris;male;https://en.wikipedia.org/wiki/Adolphe_Martial_Pot%C3%A9mont;medium;;Wikidata;high;Museu Nacional de Belas Artes;medium;48.856372814;2.352529617;100.0;48.8566666667;2.3522222222;100.0;Musée Léon Dierx;;high;Wikidata;Google Arts & Culture | Wikipédia (fr) > Wikidata;"fontes consultadas divergem sobre o ano de nascimento (1827/1828); nascimento deixado em branco";high
Adrian Dexter;;;United States;European Film College > The Animation Workshop;56.1937 > 56.4561;10.6913 > 9.40611;;;male;https://animafest.hr/en/2022/authors/read/adrian_dexter;high;local de nascimento não localizado com segurança> pesquisa sem fonte robusta para local de nascimento;;;FILE;;;;;;;;;"perfil oficial/FILE recente; sem óbito identificado";;;;não localizadas datas biográficas em fonte auditável;
Adrian Flury;1978;;Switzerland;Lucerne University of Applied Sciences and Arts;47.014;8.306;Zug, Switzerland;;male;https://archive.file.org.br/participantes/adrian-flury/ | https://www.swissfilms.ch/en/person/adrian-flury/3c0eb1779d0746c8b0d3fd7755415d9f;high;;HSLU / videokunst.ch;high;FILE;;47.177534475;8.508559443;100.0;;;;;"perfil recente de artista em atividade; sem óbito identificado";;Google Arts & Culture | FILE;;"ano confirmado por múltiplas fontes; data completa obtida em metadado de obra";medium
Adriano Monteiro;;;Brazil;Universidade Estadual de Campinas (UNICAMP);-22.817222222222;-47.069444444444;Brazil;;male;FILE Festival;high;FILE explicita “País de Origem: Brazil”> preenchido em nível de país.;FILE Festival (País de Origem);high;FILE;high;-10.769946429;-53.073466889;100.0;;;;;"site pessoal recente; sem óbito identificado";;;;não localizadas datas biográficas em fonte auditável;
Adrien Cuvit;;;France;ARIES School of Graphic and Motion Design;48.856667;2.352222;France;;male;FILE Festival;high;;FILE Festival (País de Origem);high;FILE;;46.559417044;2.550539953;100.0;;;;;perfil FILE sem referência de óbito;;;;não localizadas datas biográficas em fonte auditável;
Adrien Henri Vital van Emelen;1868;1943;Belgium;Escola de Belas Artes de Lovaina > studies with Constantin Meunier > advanced training with Auguste Rodin;50.8775 >  >;4.704444 >  >;Leuven;São Paulo;male;https://pt.wikipedia.org/wiki/Adrien_Henri_Vital_van_Emelen;medium;;Wikidata;high;Museu Paulista;high;50.882173608;4.705906182;100.0;-23.5503944444;-46.6339472222;100.0;Biblioteca Nacional / Sophia;"autoridade secundária; local de morte convergente";medium;Google Arts & Culture | Biblioteca Nacional > Wikidata > Ulan;Google Arts & Culture | Biblioteca Nacional > Wikidata > Ulan;datas completas confirmadas em metadado institucional e autoridade;high
Adrián Regnier;1989;;Mexico;"Escuela Nacional de Escultura, Pintura y Grabado ""La Esmeralda"" > Universidad Veracruzana";19.353773 > 19.5293;-99.13589 > -96.9247;Mexico City;;male;site oficial de Adrián Regnier;high;alto;Wikidata;high;;;19.430457906;-99.141684761;100.0;;;;;"biografia oficial recente; sem óbito identificado";;site oficial de Adrián Regnier | Fundación CERGUI;;fonte oficial explicita apenas o ano de nascimento;high
Afro Basaldella;1912;1976;Italy;Liceo Artistico Di Porta Romana E S.F. > Accademia di Belle Arti di Venezia;43.7599 > 45.4286;11.24626 > 12.3305;Udine;Zurich;male;https://en.wikipedia.org/wiki/Afro_Basaldella;medium;formação artística registrada de modo geral> datas aproximadas;Wikidata;high;MAC USP;medium;46.0649418;13.2307247;100.0;47.3744444444;8.5411111111;100.0;Peggy Guggenheim Collection;;high;Wikidata > Ulan;Wikidata > Ulan;;high
Aggie Pak Yee Lee;1989;;Hong Kong;Estonian Academy of Arts;59;26;Hong Kong;;female;Estonian Academy of Arts | FILE Festival;high;;Wikidata;high;FILE;;22.351958323;114.119385987;100.0;;;;;"biografia FILE indica artista nascida em 1989 e atuante; sem óbito identificado";;;;;
Agostinho José da Mota;1824;1878;Brazil;Academia Imperial de Belas Artes > Accademia di San Luca;-22.9071 > 41.90166;-43.1829 > 12.483586;Rio de Janeiro;Rio de Janeiro;male;https://pt.wikipedia.org/wiki/Agostinho_Jos%C3%A9_da_Mota | https://www.brasilianaiconografica.art.br/autores/19862/agostinho-da-motta;medium;datas aproximadas;Wikidata;high;Museu Nacional de Belas Artes;medium;-22.9014475;-43.1789159;100.0;-22.9014475;-43.1789159;100.0;Enciclopédia Itaú Cultural;;high;Wikidata > Ulan;Wikidata > Ulan;;high
Agostino Masucci;1691;1758;Papal States;training with Benedetto Luti and Carlo Maratta;41.893055555556;12.482777777778;Rome;Rome;male;https://en.wikipedia.org/wiki/Agostino_Masucci | https://www.britannica.com/biography/Agostino-Masucci;high;;Wikidata;high;Museu Nacional de Belas Artes;medium;41.8905568;12.4942679;100.0;41.8930555556;12.4827777778;100.0;National Galleries of Scotland;;high;Wikidata > Ulan;Wikidata > Ulan;;high
Agustín Abreu;1980;;Mexico;Universidad Modelo > University of Texas at El Paso > University of Pittsburgh;21.0285 > 31.77 > 40.444565;-89.5678 > -106.505 > -79.953274;Mexico City, Mexico;;male;https://orcid.org/0000-0003-2299-4555;high;identificação alinhada pela formação> fonte indica nascimento em Ciudad de México> metadado de cidadania na planilha diverge;Biblioteca Virtual Sedeculta / Wikipedia;medium;FILE> Museu da Inconfidência;;19.430457906;-99.141684761;;;;;;"ORCID e fontes recentes indicam autor em atividade; sem óbito identificado";;Enciclopedia de la Literatura en México (FLM) — https://www.elem.mx/autor/datos/121872;;"nascimento localizado; sem data de morte em fonte consultada";high
Agustín Salinas Teruel;1861;1915;Spain;Escuelas de Comercio, Artes y Oficios de Madrid > Escuela Superior de Bellas Artes > Academia Española de Roma;40.41694444444445 > 41.893055555556 > 41.9106;-3.703333333333333 > 12.482777777778 > 12.4781;Zaragoza;Rome;male;https://www.epdlp.com/pintor.php?id=8747 | https://pt.wikipedia.org/wiki/Augustin_Salinas_y_Teruel> https://www.epdlp.com/pintor.php?id=8747 | https://galeriandre.com.br/artistas-interna/375/augustin-salinas/;medium;A grafia do creator foi mantida> as fontes também usam Augustin/Agostyn Salinas.;Wikidata;high;Museu Nacional de Belas Artes;high;41.656837;-0.8794245;100.0;41.8930555556;12.4827777778;100.0;"Wikipedia es; Galeria André";"fontes divergentes sobre o ano de morte; local convergente: Roma";medium;Wikidata > Ulan;Wikidata > Ulan;;high
Ahron Giladi;1907;1993;Israel;Leningrad Academy of Art;59.9375;30.29;Gomel, Belarus;;male;https://museum.imj.org.il/artcenter/newsite/en/?artist=Giladi%2C+Aharon;high;;Israel Museum / galeria;high;MAC USP;medium;52.425163;31.015039;;;;;;fonte institucional localizada para trajetória e data, mas local de morte não confirmado com segurança;;Israel Museum, Information Center for Israeli Art — https://museum.imj.org.il/artcenter/newsite/en/?artist=Giladi%2C+Aharon%2C+Israeli%2C+born+Russia%2C+1907-1993;Israel Museum, Information Center for Israeli Art — https://museum.imj.org.il/artcenter/newsite/en/?artist=Giladi%2C+Aharon%2C+Israeli%2C+born+Russia%2C+1907-1993;;high
Aieda Freitas;;;Brazil;Universidade Municipal de São Caetano do Sul;-23.6131956;-46.5712354;Brazil;;female;Lar Galeria | Intercom Sudeste;low;;FILE Festival (País de Origem);high;FILE;;-10.769946429;-53.073466889;100.0;;;;;site oficial e FILE sem referência de óbito;;;;não localizei ano de nascimento em fonte pública consultada;
Ailadi;;;Italy;Politecnico di Milano > ENSCI, Les Ateliers > Köln International School of Design;45.478031 > 48.8584 > 50.948;9.227319 > 2.3693 > 6.956;Italian Alps, Italy;;female;site oficial da artista;high;;Kinomural;medium;FILE;;45.013;6.9418;100.0;;;;;"perfil autoral recente; sem óbito identificado";;;;não localizei ano de nascimento em fonte pública consultada;
Aimée;;;;;;;Argentina;;;;;fonte institucional informa apenas país de nascimento | nome monônimo e fontes abertas insuficientes para desambiguar a trajetória educacional;MAC USP;high;MAC USP;;-38.416097;-63.616672;;;;;;"nome monônimo; identidade não desambiguada com segurança";;;;nome artístico/pseudônimo sem desambiguação segura;
Akihito Ito;1976;;Japan;Nagoya University of Arts;35.256;136.881056;Nagoya, Japan;;male;https://www.isea-symposium-archives.org/person/akihito-ito/ | https://archive.file.org.br/participantes/akihito/;high;;site oficial (akihitoito.com);high;FILE;;35.18142047;136.90668338;100.0;;;;;"artista em atividade em fonte recente; sem óbito identificado";;Site oficial do artista (perfil) — https://www.akihitoito.com/akihitoito_prof.html;;"nascimento localizado; sem data de morte em fonte consultada";high
Alaa Omari;;;Palestine;American University of Sharjah;25.309722;55.490556;Palestine;;;American University of Sharjah;high;;Wikidata;high;FILE;;31.912719787;35.204684057;100.0;;;;;"artista em atividade em fonte recente; sem óbito identificado";;;;não localizei ano de nascimento em fonte pública consultada;
Alan Davie;1920;2014;United Kingdom;Edinburgh College of Art;55.9458;-3.19964;Grangemouth;Hertford;male;https://en.wikipedia.org/wiki/Alan_Davie> https://gulbenkian.pt/cam/artist/alan-davie/;medium;As fontes convergem para Edinburgh College of Art.;Wikidata;high;MAC USP;high;56.019555095;-3.721883769;100.0;51.795;-0.078055556;100.0;"Wikipedia; Hertford Arts Hub";;medium;Ulan;Ulan;;high
Albert Bayona i Fernández;1954;;Spain;School of the Circle of Fine Arts;41.614165;0.625803;Lleida;;male;Wikipedia;medium;;Wikidata;high;FILE;;41.6141646;0.6258029;100.0;;;;;"artista em atividade em fonte recente; sem óbito identificado";;Wikidata;;"sem data de morte; artista em atividade em fontes recentes";high
Albert Eckhout;1600;1666;Dutch Republic;training in painting with Gheert Roeleffs (uncle);;;Groningen;Groningen;male;https://pesquisaescolar.fundaj.gov.br/pt-br/artigo/eckhout-albert/ | https://www.guiadasartes.com.br/albert-van-der-eckhout/principais-obras;high;As fontes recuperadas não nomeiam uma academia formal> a formação aparece como aprendizado com o tio pintor.;Wikidata;high;Coleção Brasiliana Itaú;medium;53.219956308;6.564955801;100.0;53.218888889;6.5675;100.0;Enciclopédia Itaú Cultural;;high;Ulan;Ulan;;high
Albert Gleizes;1881;1953;France;self-taught;48.856372814;2.352529617;Paris;Avignon;male;https://en.wikipedia.org/wiki/Albert_Gleizes;medium;Autodidata> não foi localizada instituição formal de ensino artístico.;Wikidata;high;MAC USP;medium;48.856372814;2.352529617;100.0;43.948611111;4.808333333;100.0;"Britannica; The Met";"fontes divergentes: arquivo trazia Saint-Rémy-de-Provence; Britannica e The Met indicam Avignon";high;Ulan;Ulan;;high
Albert Merino;1979;;Spain;Universitat de Barcelona > Kunsthochschule Berlin-Weißensee;41.386666666667 > 52.5606;2.1638888888889 > 13.4572;Barcelona, Spain;;male;https://albertmerino.com/web/?page_id=4 | https://www.cccb.org/en/w/participants/albert-merino | https://file.org.br/videoarte_2019/albert-merino/;high;;FILE Festival / CCCB;high;FILE;;41.387917;2.1699187;100.0;;;;;"artista em atividade em fonte recente; sem óbito identificado";;;;"sem data de morte; artista em atividade em fonte consultada";
Alberto André Feijó Delpino;1864;1942;Brazil;Academia Imperial de Belas Artes > studies with Georg Grimm;-22.9071 > ;-43.1829 > ;Juiz de Fora, Minas Gerais, Brazil;Belo Horizonte;;https://enciclopedia.itaucultural.org.br/pessoas/6435-alberto-delpino;high;education at the Academia Imperial de Belas Artes and studies with Georg Grimm;https://enciclopedia.itaucultural.org.br/pessoas/6435-alberto-delpino;high;Museu da Inconfidência;low;-21.7609;-43.3500;100.0;-19.928055556;-43.941944444;100.0;Enciclopédia Itaú Cultural;;high;Enciclopédia Itaú Cultural — https://enciclopedia.itaucultural.org.br/pessoas/6435-alberto-delpino;Enciclopédia Itaú Cultural — https://enciclopedia.itaucultural.org.br/pessoas/6435-alberto-delpino;;high
Alberto da Veiga Guignard;1896;1962;Brazil;Akademie der Bildenden Künste München > advanced studies in Florence > advanced studies in Paris;48.153196 > 43.7696 > 48.856386;11.580312 > 11.2558 > 2.352222;Nova Friburgo;Belo Horizonte;male;https://enciclopedia.itaucultural.org.br/pessoas/2130-guignard;high;estudos em Florença localizados, mas sem nome formal da instituição no trecho consultado;Wikidata;high;Museu da Inconfidência;medium;-22.2891837;-42.5345547;100.0;-19.928055556;-43.941944444;100.0;"Enciclopédia Itaú Cultural; Secult MG";;high;Ulan;Ulan;;high
Alberto Lima;;;Portugal;;;;Porto;;male;;;A fonte indica início da pintura incentivado por Carlos Scliar, sem escola formal nomeada. | fonte localizada menciona incentivo de Carlos Scliar, sem formação ou instituição explicitada;Wikidata;high;Museu Paulista;medium;41.1501526;-8.610318;100.0;;;;;data de falecimento localizada, mas local de morte não encontrado com segurança;;;;"homônimo não desambiguado; contexto do CSV (Portugal/Porto) conflita com artista brasileiro mais documentado";
Alberto Magnelli;1888;1971;Italy;self-taught;43.7686976;11.2569291;Florence;Meudon;male;https://en.wikipedia.org/wiki/Alberto_Magnelli;medium;Autodidata> fontes consultadas indicam ausência de formação formal em escola de arte.;Wikidata;high;MAC USP;medium;43.7686976;11.2569291;100.0;48.8075;2.240277778;100.0;Centre Pompidou;;high;Ulan;Ulan;;high
Alberto Salietti;1892;1961;Italy;Accademia di Belle Arti di Brera;45.47222222;9.18888889;Ravenna;Chiavari;male;Wikipedia (it)> Pittori Liguri;medium;;Wikidata;high;MAC USP;medium;44.4157367;12.1965892;100.0;44.316411111;9.323736111;100.0;Wikipedia it;;medium;Wikidata > Ulan;Wikidata > Ulan;;high
Alberto Silva;1850;;;Escola Industrial Infante D. Henrique > Escola Superior de Belas-Artes do Porto;41.15068 > 41.15;-8.63128 > -8.610833;Porto, Portugal;;male;https://sigarra.up.pt/up/pt/p/antigos%20estudantes%20ilustres%20-%20alberto%20silva;high;Mantida identificação cautelosa por se tratar de nome relativamente comum.;"U.Porto; Leiloeira Serralves";high;Museu Histórico Nacional;medium;41.1501526;-8.610318;;;;;;homônimo não desambiguado com segurança;;Ulan;;identificação conflitante: fontes localizadas apontam artista do Porto nascido em 1882, mas o CSV traz 1850;high
Alberto Teixeira;1925;2011;Brazil;Sociedade Nacional de Belas Artes > classes with Samson Flexor > Atelier-Abstração;38.7140 >  > -23.550394444444;-9.1390 >  > -46.633947222222;São João do Estoril, Portugal;Campinas;male;https://enciclopedia.itaucultural.org.br/pessoas/2955-alberto-teixeira | https://www.apap.art.br/associados/338/alberto-teixeira-em-memoria/;high;;APAP;high;MAC USP;high;38.697;-9.361;;-22.900833333;-47.057222222;100.0;"Centro de Memória Unicamp; Enciclopédia Itaú Cultural";;high;;;;
Alcindo Da Conceiçao;;;France;ARIES School of Graphic and Motion Design;48.856667;2.352222;France;;male;FILE Festival;high;FILE explicita “País de Origem: France”> preenchido em nível de país.;FILE Festival (País de Origem);high;FILE;high;46.559417044;2.550539953;100.0;;;;;"artista em atividade em fonte recente; sem óbito identificado";;;;não localizei ano de nascimento em fonte pública consultada;
Aldemir Martins;1922;2006;Brazil;Colégio Militar de Fortaleza > Ateneu São José;-3.7275 > -20.82;-38.5275 > -49.378888888889;Aurora;São Paulo;male;https://pt.wikipedia.org/wiki/Aldemir_Martins;medium;;Wikidata;high;MAC USP;medium;-6.9406;-38.9686;100.0;-23.550394444;-46.633947222;100.0;Assembleia Legislativa do Estado de São Paulo;;high;Wikidata > Ulan;Wikidata > Ulan;;high
Aldo Beck;1919;1999;Brazil;"training with Manoel Francisco de Oliveira (""Maneca Margarida"""""""")""""""";-27.60111111;-48.52;Florianópolis;;male;artigo UDESC> site do artista;high;formação artística informal com o mestre Maneca Margarida> escola/instituição não localizada;Wikidata;high;Museu Victor Meirelles;medium;-27.5969123;-48.5495751;100.0;;;;;ano de morte localizado, mas local de morte não aparece de forma explícita nas fontes consultadas;;;Museu de Arte de Santa Catarina (MASC/FCC-SC) — https://aplicacoes.fcc.sc.gov.br/wpmasc/artista/aldo-beck/;;high
Aldo Bonadei;1906;1974;Brazil;studio of Pedro Alexandrino;-23.550394444444;-46.633947222222;São Paulo;São Paulo;male;https://enciclopedia.itaucultural.org.br/pessoas/2775-bonadei;high;também frequentou o ateliê de Antonio Rocco;Wikidata;high;MAC USP;medium;-23.5486657;-46.6382522;100.0;-23.550394444;-46.633947222;100.0;FAPESP;;high;Wikidata > Ulan;Wikidata > Ulan;;high
